https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
まごころ弁当板橋中央店,納　哲也,3板保生食ほ 第  822号,令和03年11月22日,新規,東京都,板橋区高島平一丁目20番5号　飯島ハイツ105,板橋区高島平１丁目２０番５号, 飯島ハイツ１０５,飲食店営業,03-6906-5304,,198,まごころ弁当板橋中央店,03,03-6906-5304,,,,東京都　板橋区高島平１丁目２０番５号,東京都板橋区高島平１丁目２０番５号, 飯島ハイツ１０５,75084,13,13119,高島平１,,,2021/11/22,,,,納　哲也,,,,,,,,,3板保生食ほ 第  822号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,まごころ弁当板橋中央店03-6906-53047508413119,507485d5-b547-46b3-8fae-53378bcdebf6,,personal,32e99162-6419-4720-8cbf-d5cc6d533d27,2021/11/22,まごころ弁当板橋中央店,まごころ弁当板橋中央店,
Ｌａ　Ｃｕｔａｌｉｎａ,葛西　史郎,3板保生食ほ 第  886号,令和03年11月26日,新規,東京都,板橋区高島平八丁目5番6号　Ｏｆｆｉｃｅ８０５　Ｂ１Ｆ,板橋区高島平８丁目５番６号,Ｏｆｆｉｃｅ８０５ Ｂ１Ｆ,飲食店営業,5399-6097,,198,Ｌａ　Ｃｕｔａｌｉｎａ,03,03-5399-6097,,,,東京都　板橋区高島平８丁目５番６号,東京都板橋区高島平８丁目５番６号,Ｏｆｆｉｃｅ８０５ Ｂ１Ｆ,75091,13,13119,高島平８,,,2021/11/26,,,,葛西　史郎,,,,,,,,,3板保生食ほ 第  886号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＬａＣｕｔａｌｉｎａ03-5399-60977509113119,a00c7035-52b3-47ee-a205-3e03c1f7c597,,personal,0f7b7ced-fe8d-44d6-9f6b-207b7913ab3a,2021/11/26,Ｌａ　Ｃｕｔａｌｉｎａ,ＬａＣｕｔａｌｉｎａ,
Ｓｅｎｄ　Ｋｉｔｃｈｅｎ　アナカプリ　やまと,堤谷　真彦,3板保生食ほ 第  854号,令和03年11月22日,新規,東京都,板橋区東新町二丁目7番6号,板橋区東新町２丁目７番６号,,飲食店営業,,,198,Ｓｅｎｄ　Ｋｉｔｃｈｅｎ　アナカプリ　やまと,03,,,,,東京都　板橋区東新町２丁目７番６号,東京都板橋区東新町２丁目７番６号,,75130,13,13119,東新町２,,,2021/11/22,,,,堤谷　真彦,,,,,,,,,3板保生食ほ 第  854号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＳｅｎｄＫｉｔｃｈｅｎアナカプリやまと7513013119,491599f8-238c-42a7-a07f-0dab139806e2,,personal,aaf8c657-6ed4-472d-96df-7b39e89f2713,2021/11/22,Ｓｅｎｄ　Ｋｉｔｃｈｅｎ　アナカプリ　やまと,ＳｅｎｄＫｉｔｃｈｅｎアナカプリやまと,
魚市場丼丸,佐藤　達也,3板保生食ほ 第  850号,令和03年11月22日,新規,東京都,板橋区常盤台四丁目25番1号　サンライフカミイタ１０７,板橋区常盤台４丁目２５番１号, サンライフカミイタ１０７,飲食店営業,6906-8257,,198,魚市場丼丸,03,03-6906-8257,,,,東京都　板橋区常盤台４丁目２５番１号,東京都板橋区常盤台４丁目２５番１号, サンライフカミイタ１０７,75097,13,13119,常盤台４,,,2021/11/22,,,,佐藤　達也,,,,,,,,,3板保生食ほ 第  850号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,魚市場丼丸03-6906-82577509713119,ea8b21fd-628f-4786-94aa-95d4674dfed4,,personal,525fb947-736a-486a-9878-650c6f1cab8a,2021/11/22,魚市場丼丸,魚市場丼丸,
ローソン東武練馬駅北口店,有限会社ヤマジョウ上野商事,3板保生食ほ 第  813号,令和03年11月16日,新規,東京都,板橋区徳丸二丁目3番1号,板橋区徳丸２丁目３番１号,,飲食店営業,3936-8766,,198,ローソン東武練馬駅北口店,03,03-3936-8766,,,,東京都　板橋区徳丸２丁目３番１号,東京都板橋区徳丸２丁目３番１号,,75099,13,13119,徳丸２,,,2021/11/16,,,有限会社ヤマジョウ上野商事,,,,,,,,,,3板保生食ほ 第  813号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ロソン東武練馬駅北口店03-3936-87667509913119,794ea7a8-3e94-4d81-a21a-30e9e69093c5,有限会社ヤマジョウ上野商事,c3da5a0a-7191-4826-982b-b3b837799b01,8673dc21-8f2f-410a-8ea5-f59cf62e9478,2021/11/16,ローソン東武練馬駅北口店,ロソン東武練馬駅北口店,有限会社ヤマジョウ上野商事
みるく,株式会社Ｂｕｌｌ　Ｐｕｌｕ,3板保生食ほ 第  883号,令和03年11月26日,新規,東京都,板橋区徳丸六丁目22番1号　アイランドコーポⅡ,板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,飲食店営業,,,198,みるく,03,,,,,東京都　板橋区徳丸６丁目２２番１号,東京都板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,75103,13,13119,徳丸６,,,2021/11/26,,,株式会社Ｂｕｌｌ　Ｐｕｌｕ,,,,,,,,,,3板保生食ほ 第  883号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,みるく7510313119,12d89b37-ea45-4c64-8314-634c73cdbb4d,株式会社Ｂｕｌｌ　Ｐｕｌｕ,14cc6d00-2e98-453f-b04d-b08a80a9ad14,c27719ed-f3fa-4d7f-a4af-7d258bb00215,2021/11/26,みるく,みるく,株式会社Ｂｕｌｌ　Ｐｕｌｕ
みるく,株式会社Ｂｕｌｌ　Ｐｕｌｕ,3板保生食ほ 第  884号,令和03年11月26日,新規,東京都,板橋区徳丸六丁目22番1号　アイランドコーポⅡ,板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,菓子製造業,,,198,みるく,03,,,,,東京都　板橋区徳丸６丁目２２番１号,東京都板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,75103,13,13119,徳丸６,,,2021/11/26,,,株式会社Ｂｕｌｌ　Ｐｕｌｕ,,,,,,,,,,3板保生食ほ 第  884号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,みるく7510313119,12d89b37-ea45-4c64-8314-634c73cdbb4d,株式会社Ｂｕｌｌ　Ｐｕｌｕ,14cc6d00-2e98-453f-b04d-b08a80a9ad14,256486cd-d174-4cd4-8893-dcbe7ad1ef08,2021/11/26,みるく,みるく,株式会社Ｂｕｌｌ　Ｐｕｌｕ
生餃子・小籠包 専門店 Ｂｕｌｌ Ｐｕｌｕ Ｔｅｎｓｈｉｎ,株式会社Ｂｕｌｌ　Ｐｕｌｕ,3板保生食ほ 第  880号,令和03年11月26日,新規,東京都,板橋区徳丸六丁目22番1号　アイランドコーポⅡ,板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,飲食店営業,,,198,生餃子・小籠包 専門店 Ｂｕｌｌ Ｐｕｌｕ Ｔｅｎｓｈｉｎ,03,,,,,東京都　板橋区徳丸６丁目２２番１号,東京都板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,75103,13,13119,徳丸６,,,2021/11/26,,,株式会社Ｂｕｌｌ　Ｐｕｌｕ,,,,,,,,,,3板保生食ほ 第  880号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,生餃子小籠包専門店ＢｕｌｌＰｕｌｕＴｅｎｓｈｉｎ7510313119,f2bfd7df-2cc9-42ea-9264-869727a9271c,株式会社Ｂｕｌｌ　Ｐｕｌｕ,14cc6d00-2e98-453f-b04d-b08a80a9ad14,bb7fe16f-f9f8-4b95-9bea-27e826f29e9b,2021/11/26,生餃子・小籠包　専門店　Ｂｕｌｌ　Ｐｕｌｕ　Ｔｅｎｓｈｉｎ,生餃子小籠包専門店ＢｕｌｌＰｕｌｕＴｅｎｓｈｉｎ,株式会社Ｂｕｌｌ　Ｐｕｌｕ
生餃子・小籠包 専門店 Ｂｕｌｌ Ｐｕｌｕ Ｔｅｎｓｈｉｎ,株式会社Ｂｕｌｌ　Ｐｕｌｕ,3板保生食ほ 第  881号,令和03年11月26日,新規,東京都,板橋区徳丸六丁目22番1号　アイランドコーポⅡ,板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,そうざい製造業,,,198,生餃子・小籠包 専門店 Ｂｕｌｌ Ｐｕｌｕ Ｔｅｎｓｈｉｎ,03,,,,,東京都　板橋区徳丸６丁目２２番１号,東京都板橋区徳丸６丁目２２番１号, アイランドコーポⅡ,75103,13,13119,徳丸６,,,2021/11/26,,,株式会社Ｂｕｌｌ　Ｐｕｌｕ,,,,,,,,,,3板保生食ほ 第  881号,新規,そうざい製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,生餃子小籠包専門店ＢｕｌｌＰｕｌｕＴｅｎｓｈｉｎ7510313119,f2bfd7df-2cc9-42ea-9264-869727a9271c,株式会社Ｂｕｌｌ　Ｐｕｌｕ,14cc6d00-2e98-453f-b04d-b08a80a9ad14,496c6b18-429c-4dd8-936e-a8039ec38bb3,2021/11/26,生餃子・小籠包　専門店　Ｂｕｌｌ　Ｐｕｌｕ　Ｔｅｎｓｈｉｎ,生餃子小籠包専門店ＢｕｌｌＰｕｌｕＴｅｎｓｈｉｎ,株式会社Ｂｕｌｌ　Ｐｕｌｕ
宮,宮　雪峰,3板保生食ほ 第  895号,令和03年11月29日,新規,東京都,板橋区仲宿41番10号　清水ビルＢ１,板橋区仲宿４１番１０号, 清水ビルＢ１,飲食店営業,6905-7893,,198,宮,03,03-6905-7893,,,,東京都　板橋区仲宿４１番１０号,東京都板橋区仲宿４１番１０号, 清水ビルＢ１,75107,13,13119,仲宿,,,2021/11/29,,,,宮　雪峰,,,,,,,,,3板保生食ほ 第  895号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,宮03-6905-78937510713119,c7a421a1-9c4b-4413-864c-b28f77359fa0,,personal,7e8bad90-d2c4-424d-b561-f5687745e70f,2021/11/29,宮,宮,
有限会社タイヨー三徳精肉店,有限会社タイヨー三徳精肉店,3板保生食ほ 第  891号,令和03年11月29日,新規,東京都,板橋区中台三丁目5番26号,板橋区中台３丁目５番２６号,,食肉販売業,3934-6347,,198,有限会社タイヨー三徳精肉店,03,03-3934-6347,,,,東京都　板橋区中台３丁目５番２６号,東京都板橋区中台３丁目５番２６号,,75110,13,13119,中台３,,,2021/11/29,,,有限会社タイヨー三徳精肉店,,,,,,,,,,3板保生食ほ 第  891号,新規,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,583,,有限会社タイヨ三徳精肉店03-3934-63477511013119,13cb967f-9495-4d73-ab38-78f193b7d9ab,有限会社タイヨー三徳精肉店,11e5d76d-1a2f-460a-9de5-4e0d37a3e5e1,4fdee288-3bc5-40a8-941b-b65718a381e3,2021/11/29,有限会社タイヨー三徳精肉店,有限会社タイヨ三徳精肉店,有限会社タイヨー三徳精肉店
東都自動車交通株式会社中丸営業所店頭,株式会社アペックス,3板保生食ほ 第  885号,令和03年11月24日,新規,東京都,板橋区中丸町9番11号,板橋区中丸町９番１１号,,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,,,198,東都自動車交通株式会社中丸営業所店頭,03,,,,,東京都　板橋区中丸町９番１１号,東京都板橋区中丸町９番１１号,,75112,13,13119,中丸町,,,2021/11/24,,,株式会社アペックス,,,,,,,,,,3板保生食ほ 第  885号,新規,調理機能を有する自動販売機,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,61,612,,東都自動車交通株式会社中丸営業所店頭7511213119,479010c9-f7a3-47e0-8bf4-b391050cde5f,株式会社アペックス,309fc722-e467-4a45-8da9-e34f8870dabb,a2df7df2-ffa3-491e-b12d-2fd384a9600f,2021/11/24,東都自動車交通株式会社中丸営業所店頭,東都自動車交通株式会社中丸営業所店頭,株式会社アペックス
陸王交通,ナショナル・ベンディング株式会社,3板保生食ほ 第  879号,令和03年11月26日,新規,東京都,板橋区中丸町12番1号,板橋区中丸町１２番１号,,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,,,198,陸王交通,03,,,,,東京都　板橋区中丸町１２番１号,東京都板橋区中丸町１２番１号,,75112,13,13119,中丸町,,,2021/11/26,,,ナショナル・ベンディング株式会社,,,,,,,,,,3板保生食ほ 第  879号,新規,調理機能を有する自動販売機,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,61,612,,陸王交通7511213119,6ff8ce00-b2fb-4b74-bd25-7d98e1ec32f9,ナショナル・ベンディング株式会社,a9d57239-8f46-497b-9d89-c34facda185c,75d30749-b5b3-4ba7-8078-834c5749b7e8,2021/11/26,陸王交通,陸王交通,ナショナル・ベンディング株式会社
田吾作寿司,國友　廣久,3板保生食ほ 第  738号,令和03年11月16日,新規,東京都,板橋区中丸町38番1号,板橋区中丸町３８番１号,,飲食店営業,,,198,田吾作寿司,03,,,,,東京都　板橋区中丸町３８番１号,東京都板橋区中丸町３８番１号,,75112,13,13119,中丸町,,,2021/11/16,,,,國友　廣久,,,,,,,,,3板保生食ほ 第  738号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,田吾作寿司7511213119,d4f03ad8-e65e-4f63-82ef-92875e1cb5c0,,personal,917df562-ef14-4c8a-8ee0-9f96dc867eb1,2021/11/16,田吾作寿司,田吾作寿司,
焼肉五苑　成増店,株式会社かわべフードサービス,3板保生食ほ 第  755号,令和03年11月25日,新規,東京都,板橋区成増二丁目17番15号　初音ビル２階,板橋区成増２丁目１７番１５号, 初音ビル２階,飲食店営業,5904-5529,,198,焼肉五苑　成増店,03,03-5904-5529,,,,東京都　板橋区成増２丁目１７番１５号,東京都板橋区成増２丁目１７番１５号, 初音ビル２階,75114,13,13119,成増２,,,2021/11/25,,,株式会社かわべフードサービス,,,,,,,,,,3板保生食ほ 第  755号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,焼肉五苑成増店03-5904-55297511413119,b12e59fb-50ff-4aed-876d-8b28095e9975,株式会社かわべフードサービス,3086fde9-a05e-45ff-b3d7-3e2abb1033b4,689b41a7-69cf-4fa7-8fa1-5d97f0fae2f8,2021/11/25,焼肉五苑　成増店,焼肉五苑成増店,株式会社かわべフードサービス
ダイナマイト酒場グレート,有限会社タコスーヤ,3板保生食ほ 第  832号,令和03年11月30日,新規,東京都,板橋区成増二丁目18番12号,板橋区成増２丁目１８番１２号,,飲食店営業,6909-9657,,198,ダイナマイト酒場グレート,03,03-6909-9657,,,,東京都　板橋区成増２丁目１８番１２号,東京都板橋区成増２丁目１８番１２号,,75114,13,13119,成増２,,,2021/11/30,,,有限会社タコスーヤ,,,,,,,,,,3板保生食ほ 第  832号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ダイナマイト酒場グレト03-6909-96577511413119,da0a53bb-c1ad-419e-b6d2-bd70465b21bb,有限会社タコスーヤ,0c31f23d-b062-4e4c-8307-cf6428c7c8d0,f7ea2d70-f53f-4e78-a38a-0fcd3dcc44ec,2021/11/30,ダイナマイト酒場グレート,ダイナマイト酒場グレト,有限会社タコスーヤ
建デポ板橋成増店,コカ・コーラボトラーズジャパン株式会社,3板保生食ほ 第  852号,令和03年11月19日,新規,東京都,板橋区成増二丁目35番1号,板橋区成増２丁目３５番１号,,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,,,198,建デポ板橋成増店,03,,,,,東京都　板橋区成増２丁目３５番１号,東京都板橋区成増２丁目３５番１号,,75114,13,13119,成増２,,,2021/11/19,,,コカ・コーラボトラーズジャパン株式会社,,,,,,,,,,3板保生食ほ 第  852号,新規,調理機能を有する自動販売機,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,61,612,,建デポ板橋成増店7511413119,e6a84c53-95a0-40ca-aa0c-4fec1f6d89ed,コカ・コーラボトラーズジャパン株式会社,5a22ba3a-c2f1-40a6-bdac-b27718f89f96,1172c43a-74fc-405e-ac04-f9f1328b1642,2021/11/19,建デポ板橋成増店,建デポ板橋成増店,コカ・コーラボトラーズジャパン株式会社
Time Line,篠崎　恵美子,3板保生食ほ 第  776号,令和03年11月18日,新規,東京都,板橋区成増三丁目41番17号,板橋区成増３丁目４１番１７号,,菓子製造業,6795-9050,,198,Time Line,03,03-6795-9050,,,,東京都　板橋区成増３丁目４１番１７号,東京都板橋区成増３丁目４１番１７号,,75115,13,13119,成増３,,,2021/11/18,,,,篠崎　恵美子,,,,,,,,,3板保生食ほ 第  776号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,ＴｉｍｅＬｉｎｅ03-6795-90507511513119,e7cc9c79-ed85-46c6-a015-56125dd5c1c3,,personal,c762cf64-a6a5-4e8c-a828-f864db80a97a,2021/11/18,Ｔｉｍｅ　Ｌｉｎｅ,ＴｉｍｅＬｉｎｅ,
焼魚の店三平,馬場　洋一,3板保生食ほ 第  825号,令和03年11月17日,新規,東京都,板橋区蓮根二丁目26番1号,板橋区蓮根２丁目２６番１号,,魚介類販売業,,,198,焼魚の店三平,03,,,,,東京都　板橋区蓮根２丁目２６番１号,東京都板橋区蓮根２丁目２６番１号,,75124,13,13119,蓮根２,,,2021/11/17,,,,馬場　洋一,,,,,,,,,3板保生食ほ 第  825号,新規,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,,,焼魚の店三平7512413119,5bcedfa0-91d9-4b90-9738-518009886ed6,,personal,f7770233-4dc5-4d13-983e-0e2f1f303503,2021/11/17,焼魚の店三平,焼魚の店三平,
大衆酒場　れん根や,株式会社テン・フードシステム,3板保生食ほ 第  758号,令和03年11月24日,新規,東京都,板橋区蓮根二丁目31番4号,板橋区蓮根２丁目３１番４号,,飲食店営業,5918-8232,,198,大衆酒場　れん根や,03,03-5918-8232,,,,東京都　板橋区蓮根２丁目３１番４号,東京都板橋区蓮根２丁目３１番４号,,75124,13,13119,蓮根２,,,2021/11/24,,,株式会社テン・フードシステム,,,,,,,,,,3板保生食ほ 第  758号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,大衆酒場れん根や03-5918-82327512413119,13baa8d6-37fe-4033-9fd7-870f604d8669,株式会社テン・フードシステム,ebc94101-8b2f-4353-bae2-7e347bcb79ab,e314e7c7-0571-4ec6-9871-56ad18f69c63,2021/11/24,大衆酒場　れん根や,大衆酒場れん根や,株式会社テン・フードシステム
一龍食堂,野口　和彦,3板保生食ほ 第  781号,令和03年11月16日,新規,東京都,板橋区氷川町1番1号,板橋区氷川町１番１号,,飲食店営業,,,198,一龍食堂,03,,,,,東京都　板橋区氷川町１番１号,東京都板橋区氷川町１番１号,,75126,13,13119,氷川町,,,2021/11/16,,,,野口　和彦,,,,,,,,,3板保生食ほ 第  781号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,一龍食堂7512613119,13cce1a2-61c4-4f88-8230-bbf6d35e3cc2,,personal,1e5d2628-5004-4c04-a86a-764101a99da3,2021/11/16,一龍食堂,一龍食堂,
豊洲の星,株式会社Ｐ５,3板保生食ほ 第  874号,令和03年11月24日,新規,東京都,板橋区舟渡一丁目13番10号　アイ・タワー１０４,板橋区舟渡１丁目１３番１０号, アイ・タワー１０４,飲食店営業,4362-0026,,198,豊洲の星,03,03-4362-0026,,,,東京都　板橋区舟渡１丁目１３番１０号,東京都板橋区舟渡１丁目１３番１０号, アイ・タワー１０４,75134,13,13119,舟渡１,,,2021/11/24,,,株式会社Ｐ５,,,,,,,,,,3板保生食ほ 第  874号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,豊洲の星03-4362-00267513413119,8fb3a534-2abf-4250-8fe1-c99236e4413a,株式会社Ｐ５,e2ef3be2-d43f-4848-a988-55d517685c48,a34d9bde-f191-410f-954a-400eee87986b,2021/11/24,豊洲の星,豊洲の星,株式会社Ｐ５
せんごく,株式会社Ｐ５,3板保生食ほ 第  870号,令和03年11月24日,新規,東京都,板橋区舟渡一丁目19番10号,板橋区舟渡１丁目１９番１０号,,飲食店営業,3967-0005,,198,せんごく,03,03-3967-0005,,,,東京都　板橋区舟渡１丁目１９番１０号,東京都板橋区舟渡１丁目１９番１０号,,75134,13,13119,舟渡１,,,2021/11/24,,,株式会社Ｐ５,,,,,,,,,,3板保生食ほ 第  870号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,せんごく03-3967-00057513413119,f18b04cc-4cb1-440c-b461-3bcbd3e2ffaa,株式会社Ｐ５,e2ef3be2-d43f-4848-a988-55d517685c48,a82d1f3d-c9fc-4d07-b4f9-b835849cf3c4,2021/11/24,せんごく,せんごく,株式会社Ｐ５
銀八寿司,村瀬　清,3板保生食ほ 第  802号,令和03年11月19日,新規,東京都,板橋区前野町二丁目22番8号,板橋区前野町２丁目２２番８号,,飲食店営業,3966-2865,,198,銀八寿司,03,03-3966-2865,,,,東京都　板橋区前野町２丁目２２番８号,東京都板橋区前野町２丁目２２番８号,,75140,13,13119,前野町２,,,2021/11/19,,,,村瀬　清,,,,,,,,,3板保生食ほ 第  802号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,銀八寿司03-3966-28657514013119,e7ee2f84-a602-43c1-8de6-dfc48a32861f,,personal,1df97bea-d50c-42af-8840-264c92b04f85,2021/11/19,銀八寿司,銀八寿司,
ＰＤハウス板橋,株式会社ＬＥＯＣ,3板保生食ほ 第  816号,令和03年11月26日,新規,東京都,板橋区三園一丁目21番2号,板橋区三園１丁目２１番２号,,飲食店営業,,,198,ＰＤハウス板橋,03,,,,,東京都　板橋区三園１丁目２１番２号,東京都板橋区三園１丁目２１番２号,,75145,13,13119,三園１,,,2021/11/26,,,株式会社ＬＥＯＣ,,,,,,,,,,3板保生食ほ 第  816号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＰＤハウス板橋7514513119,9f26e47e-e386-4345-9f36-d6fb47c7fe72,株式会社ＬＥＯＣ,b1f5b69a-4f1a-48f0-830e-446305ed9439,d2e378ba-080c-40cf-85fa-930f21483330,2021/11/26,ＰＤハウス板橋,ＰＤハウス板橋,株式会社ＬＥＯＣ
藤川フーズ第一工場,株式会社藤川商事,3板保生食ほ 第  842号,令和03年11月17日,新規,東京都,板橋区三園二丁目17番13号,板橋区三園２丁目１７番１３号,,食肉処理業,,,198,藤川フーズ第一工場,03,,,,,東京都　板橋区三園２丁目１７番１３号,東京都板橋区三園２丁目１７番１３号,,75146,13,13119,三園２,,,2021/11/17,,,株式会社藤川商事,,,,,,,,,,3板保生食ほ 第  842号,新規,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,583,,藤川フズ第一工場7514613119,f66e022c-07fd-435a-81c6-c120985aaa99,株式会社藤川商事,279bc65b-f1ac-471d-a44e-c9d6f6a43756,c60d660e-4a58-4346-8c56-96856ec43e65,2021/11/17,藤川フーズ第一工場,藤川フズ第一工場,株式会社藤川商事
藤川フーズ第一工場,株式会社藤川商事,3板保生食ほ 第  843号,令和03年11月17日,新規,東京都,板橋区三園二丁目17番13号,板橋区三園２丁目１７番１３号,,そうざい製造業,,,198,藤川フーズ第一工場,03,,,,,東京都　板橋区三園２丁目１７番１３号,東京都板橋区三園２丁目１７番１３号,,75146,13,13119,三園２,,,2021/11/17,,,株式会社藤川商事,,,,,,,,,,3板保生食ほ 第  843号,新規,そうざい製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,藤川フズ第一工場7514613119,f66e022c-07fd-435a-81c6-c120985aaa99,株式会社藤川商事,279bc65b-f1ac-471d-a44e-c9d6f6a43756,31bfc1b9-4b0a-464c-81a3-086b91512844,2021/11/17,藤川フーズ第一工場,藤川フズ第一工場,株式会社藤川商事
ayukayu,田口　鮎子,3板保生食ほ 第  887号,令和03年11月22日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,ayukayu,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/11/22,,,,田口　鮎子,,,,,,,,,3板保生食ほ 第  887号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ａｙｕｋａｙｕ,140c99d8-e6d1-49d3-841b-f12e92a61dde,,personal,e0167c03-e80f-4e6f-9e3c-ab9439e7d0c5,2021/11/22,ａｙｕｋａｙｕ,ａｙｕｋａｙｕ,
