https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
メガセンタートライアル旭川店,旭川市6条通14丁目64,旭川市６条通１４丁目６４,,74-3717,食肉販売業,株式会社トライアルカンパ,092-626-5550,R03.11.25,R03.11.25,新規,804,,3,メガセンタートライアル旭川店,0166,0166-74-3717,,,,旭川市６条通１４丁目６４　,北海道旭川市六条通１４丁目６４,,8472,1,1204,六条通１４,,2021/11/25,2021/11/25,,,株式会社トライアルカンパ,,092-626-5550,,,,,,,,804,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,メガセンタトライアル旭川店0166-74-371784721204,6bd19eea-b482-4de0-9874-5d9c51a47163,株式会社トライアルカンパ,f9148862-2cbd-417f-a59d-38f193a7174c,6b06e962-dadc-42c3-a458-7eaa8e39c337,2021/11/25,メガセンタートライアル旭川店,メガセンタトライアル旭川店,株式会社トライアルカンパ
メガセンタートライアル旭川店,旭川市6条通14丁目64,旭川市６条通１４丁目６４,,74-3717,魚介類販売業,株式会社トライアルカンパ,092-626-5550,2021.11.25,2021.11.25,新規,805,,3,メガセンタートライアル旭川店,0166,0166-74-3717,,,,旭川市６条通１４丁目６４　,北海道旭川市六条通１４丁目６４,,8472,1,1204,六条通１４,,2021/11/25,2021/11/25,,,株式会社トライアルカンパ,,092-626-5550,,,,,,,,805,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,メガセンタトライアル旭川店0166-74-371784721204,6bd19eea-b482-4de0-9874-5d9c51a47163,株式会社トライアルカンパ,f9148862-2cbd-417f-a59d-38f193a7174c,8d21484c-0620-4713-845d-7238aedd3c64,2021/11/25,メガセンタートライアル旭川店,メガセンタトライアル旭川店,株式会社トライアルカンパ
メガセンタートライアル旭川店,旭川市6条通14丁目64,旭川市６条通１４丁目６４,,74-3717,そうざい製造業,株式会社トライアルカンパ,092-626-5550,2021.11.25,2021.11.25,新規,806,,3,メガセンタートライアル旭川店,0166,0166-74-3717,,,,旭川市６条通１４丁目６４　,北海道旭川市六条通１４丁目６４,,8472,1,1204,六条通１４,,2021/11/25,2021/11/25,,,株式会社トライアルカンパ,,092-626-5550,,,,,,,,806,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,メガセンタトライアル旭川店0166-74-371784721204,6bd19eea-b482-4de0-9874-5d9c51a47163,株式会社トライアルカンパ,f9148862-2cbd-417f-a59d-38f193a7174c,2b2dc3e3-c261-4fee-bf87-fe4b25d1e973,2021/11/25,メガセンタートライアル旭川店,メガセンタトライアル旭川店,株式会社トライアルカンパ
丘のうえのパン酵房,旭川市旭岡6丁目6-34,旭川市旭岡６丁目６－３４,,52-9535,菓子製造業,佐藤明美,,"R03.11.26
R03.11.26
R03.11.26","R03.11.26
R03.11.26
R03.11.26",新規,808,,3,丘のうえのパン酵房,0166,0166-52-9535,,,,旭川市旭岡６丁目６－３４　,北海道旭川市旭岡６丁目６－３４,,6476,1,1204,旭岡６,,2021/11/26,2021/11/26,,,,佐藤明美,,,,,,,,,808,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,丘のうえのパン酵房0166-52-953564761204,714bb9bc-0b2b-42f5-b435-e9a31b384d88,,personal,3ee38ff1-01da-47ce-9661-7991a407b181,2021/11/26,丘のうえのパン酵房,丘のうえのパン酵房,
ピーコック,旭川市2条通12丁目2030-2,旭川市２条通１２丁目２０３０－２,,56-2887,飲食店営業,坂田静亮,,2021.11.26,2021.11.26,新規,809,,3,ピーコック,0166,0166-56-2887,,,,旭川市２条通１２丁目２０３０－２　,北海道旭川市二条通１２丁目２０３０－２,,8343,1,1204,二条通１２,,2021/11/26,2021/11/26,,,,坂田静亮,,,,,,,,,809,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ピコック0166-56-288783431204,c9d42545-e2bb-419c-a96f-f0bf593612bd,,personal,eeeea674-e202-4802-9b3f-8f1b340c49c1,2021/11/26,ピーコック,ピコック,
らーめん ばにはつ,旭川市永山2条18丁目1-1,旭川市永山２条１８丁目１－１,,,飲食店営業,大杉昌平,,"R03.11.26
R03.11.26
R03.11.26","R03.11.26
R03.11.26
R03.11.26",新規,810,,3,らーめん ばにはつ,0166,,,,,旭川市永山２条１８丁目１－１　,北海道旭川市永山二条１８丁目１－１,,7660,1,1204,永山二条１８,,2021/11/26,2021/11/26,,,,大杉昌平,,,,,,,,,810,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,らめんばにはつ76601204,4f1b61fa-2538-492c-87bd-bc5c850d6de0,,personal,06825896-d155-4b81-8c48-6e9ce14bca93,2021/11/26,らーめん　ばにはつ,らめんばにはつ,
ベストプライス六合店,旭川市末広3条1丁目,旭川市末広３条１丁目,,54-3577,魚介類販売業,株式会社道北アークス,47-2818,2021.11.26,2021.11.26,新規,811,,3,ベストプライス六合店,0166,0166-54-3577,,,,旭川市末広３条１丁目　,北海道旭川市末広三条１丁目,,7100,1,1204,末広三条１,,2021/11/26,2021/11/26,,,株式会社道北アークス,,0166-47-2818,,,,,,,,811,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,ベストプライス六合店0166-54-357771001204,fd5e2af4-defb-469d-8c30-241d11ea98fc,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,9abd4a50-93f9-4cc3-aab7-2073e24a1672,2021/11/26,ベストプライス六合店,ベストプライス六合店,株式会社道北アークス
ベストプライス六合店,旭川市末広3条1丁目,旭川市末広３条１丁目,,54-3577,食肉販売業,株式会社道北アークス,47-2818,2021.11.26,2021.11.26,新規,812,,3,ベストプライス六合店,0166,0166-54-3577,,,,旭川市末広３条１丁目　,北海道旭川市末広三条１丁目,,7100,1,1204,末広三条１,,2021/11/26,2021/11/26,,,株式会社道北アークス,,0166-47-2818,,,,,,,,812,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,ベストプライス六合店0166-54-357771001204,fd5e2af4-defb-469d-8c30-241d11ea98fc,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,dbbaca11-f14e-4ea1-8196-cd73a2e32f8c,2021/11/26,ベストプライス六合店,ベストプライス六合店,株式会社道北アークス
ベストプライス六合店,旭川市末広3条1丁目,旭川市末広３条１丁目,,54-3577,飲食店営業,株式会社道北アークス,47-2818,2021.11.26,2021.11.26,新規,813,,3,ベストプライス六合店,0166,0166-54-3577,,,,旭川市末広３条１丁目　,北海道旭川市末広三条１丁目,,7100,1,1204,末広三条１,,2021/11/26,2021/11/26,,,株式会社道北アークス,,0166-47-2818,,,,,,,,813,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ベストプライス六合店0166-54-357771001204,fd5e2af4-defb-469d-8c30-241d11ea98fc,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,0c81d636-cebf-4271-829d-627cb5ac423f,2021/11/26,ベストプライス六合店,ベストプライス六合店,株式会社道北アークス
OVER,旭川市3条通6丁目965-2M-BOX7F,旭川市３条通６丁目９６５,２M－BOX７F,74-7009,飲食店営業,株式会社K2one,76-7292,R03.11.29,R03.11.29,新規,815,,3,OVER,0166,0166-74-7009,,,,旭川市３条通６丁目９６５　２M－BOX７F,北海道旭川市三条通６丁目９６５２,２M－BOX７F,8365,1,1204,三条通６,,2021/11/29,2021/11/29,,,株式会社K2one,,0166-76-7292,,,,,,,,815,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＯＶＥＲ0166-74-700983651204,d8f3b7f7-191e-4886-ae22-93acbbd8a260,株式会社Ｋ２ｏｎｅ,b75c9642-cfe6-4a9c-ad7a-77bd37ed7f2a,e9df53bd-dc43-44d6-96e0-4fc989a81bbd,2021/11/29,ＯＶＥＲ,ＯＶＥＲ,株式会社Ｋ２ｏｎｅ
ケアハウス順風/デイサービスあかり/わんぱく保育園,旭川市2条通11丁目106/BF,旭川市２条通１１丁目１０６,BF,21-8551,飲食店営業,日清医療食品株式会社,03-3287-3611,R03.11.29,R03.11.29,新規,816,,3,ケアハウス順風/デイサービスあかり/わんぱく保育園,0166,0166-21-8551,,,,旭川市２条通１１丁目１０６　BF,北海道旭川市二条通１１丁目１０６,BF,8342,1,1204,二条通１１,,2021/11/29,2021/11/29,,,日清医療食品株式会社,,03-3287-3611,,,,,,,,816,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ケアハウス順風デイサビスあかりわんぱく保育園0166-21-855183421204,5c0f194b-23f7-487c-ae7d-d606f213e5a8,日清医療食品株式会社,caed14bb-a0f4-4953-b6b1-63211d3b8f27,f4fc78a7-07bb-4b22-b4c7-1ad5b613f80f,2021/11/29,ケアハウス順風／デイサービスあかり／わんぱく保育園,ケアハウス順風デイサビスあかりわんぱく保育園,日清医療食品株式会社
中国料理天壇,旭川市4条通13丁目左2天壇ビル1F,旭川市４条通１３丁目左２,天壇ビル,26-2034,飲食店営業,小野雄二,,R03.11.29,R03.11.29,新規,817,,3,中国料理天壇,0166,0166-26-2034,,,,旭川市４条通１３丁目左２　天壇ビル,北海道旭川市四条通１３丁目左２,天壇ビル,8403,1,1204,四条通１３,,2021/11/29,2021/11/29,,,,小野雄二,,,,,,,,,817,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,中国料理天壇0166-26-203484031204,7395c1ce-f6e6-4f47-93f4-940c11076822,,personal,d84814cf-15dd-4662-b87b-d56f052dda3a,2021/11/29,中国料理天壇,中国料理天壇,
軽食喫茶つくしんぼ,旭川市大町2条15丁目577-31,旭川市大町２条１５丁目５７７－３１,,54-3845,飲食店営業,若松久子,,R03.11.29,R03.11.29,新規,818,,3,軽食喫茶つくしんぼ,0166,0166-54-3845,,,,旭川市大町２条１５丁目５７７－３１　,北海道旭川市大町二条１５丁目５７７－３１,,6562,1,1204,大町二条１５,,2021/11/29,2021/11/29,,,,若松久子,,,,,,,,,818,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,軽食喫茶つくしんぼ0166-54-384565621204,16299dce-65f2-4334-a278-81aaa44b0d14,,personal,49f0c901-053d-40fb-b48f-de0c32fbbff5,2021/11/29,軽食喫茶つくしんぼ,軽食喫茶つくしんぼ,
株式会社PCD,旭川市住吉6条1丁目9-13,旭川市住吉６条１丁目９－１３,,76-6891,冷凍食品製造業,株式会社 PCD,76-6891,R03.11.29,R03.11.29,新規,819,,3,株式会社PCD,0166,0166-76-6891,,,,旭川市住吉６条１丁目９－１３　,北海道旭川市住吉六条１丁目９－１３,,8805,1,1204,住吉六条１,,2021/11/29,2021/11/29,,,株式会社 PCD,,0166-76-6891,,,,,,,,819,新規,冷凍食品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社ＰＣＤ0166-76-689188051204,7f19a2ed-32d2-45b4-8685-3c2c9004924b,株式会社ＰＣＤ,d688b43d-a731-42fe-a0b2-415407c15366,22987482-de42-462b-8036-656b29c6eab6,2021/11/29,株式会社ＰＣＤ,株式会社ＰＣＤ,株式会社ＰＣＤ
株式会社PCD,旭川市住吉6条1丁目9-13,旭川市住吉６条１丁目９－１３,,76-6891,魚介類販売業,株式会社 PCD,76-6891,R03.11.29,R03.11.29,新規,820,,3,株式会社PCD,0166,0166-76-6891,,,,旭川市住吉６条１丁目９－１３　,北海道旭川市住吉六条１丁目９－１３,,8805,1,1204,住吉六条１,,2021/11/29,2021/11/29,,,株式会社 PCD,,0166-76-6891,,,,,,,,820,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,株式会社ＰＣＤ0166-76-689188051204,7f19a2ed-32d2-45b4-8685-3c2c9004924b,株式会社ＰＣＤ,d688b43d-a731-42fe-a0b2-415407c15366,f8a34c97-5891-473f-a2b4-05b8c20df9fa,2021/11/29,株式会社ＰＣＤ,株式会社ＰＣＤ,株式会社ＰＣＤ
株式会社PCD,旭川市住吉6条1丁目9-13,旭川市住吉６条１丁目９－１３,,76-6891,食肉販売業,株式会社PCD,76-6891,R03.11.29,R03.11.29,新規,821,,3,株式会社PCD,0166,0166-76-6891,,,,旭川市住吉６条１丁目９－１３　,北海道旭川市住吉六条１丁目９－１３,,8805,1,1204,住吉六条１,,2021/11/29,2021/11/29,,,株式会社PCD,,0166-76-6891,,,,,,,,821,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,株式会社ＰＣＤ0166-76-689188051204,7f19a2ed-32d2-45b4-8685-3c2c9004924b,株式会社ＰＣＤ,d688b43d-a731-42fe-a0b2-415407c15366,5c26a478-1e07-4f59-a4a4-1173feb47815,2021/11/29,株式会社ＰＣＤ,株式会社ＰＣＤ,株式会社ＰＣＤ
Tuk Tuk 36(トゥクトゥクサンロク),旭川市3条通6丁目10石黒ビル6F,旭川市３条通６丁目１０,石黒ビル,,飲食店営業,堀麻衣子,,R03.11.29,R03.11.29,新規,822,,3,Tuk Tuk 36(トゥクトゥクサンロク),0166,,,,,旭川市３条通６丁目１０　石黒ビル,北海道旭川市三条通６丁目１０,石黒ビル,8365,1,1204,三条通６,,2021/11/29,2021/11/29,,,,堀麻衣子,,,,,,,,,822,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＴｕｋＴｕｋ３６トゥクトゥクサンロク83651204,c1826d54-afae-493c-aefb-efc7e9d68ab8,,personal,1e20f97d-4b67-4409-b9bc-2f251ccb948e,2021/11/29,Ｔｕｋ　Ｔｕｋ　３６（トゥクトゥクサンロク）,ＴｕｋＴｕｋ３６トゥクトゥクサンロク,
旭山動物園くらぶパン小屋,旭川市東旭川町倉沼旭山動物園内,旭川市東旭川町倉沼,旭山動物園内,36-5191,飲食店営業,"特定非営利活動法人旭山
動物園くらぶ",73-6066,R03.11.29,R03.11.29,新規,823,,3,旭山動物園くらぶパン小屋,0166,0166-36-5191,,,,旭川市東旭川町倉沼　旭山動物園内,北海道旭川市東旭川町倉沼,旭山動物園内,8012,1,1204,東旭川町倉沼,,2021/11/29,2021/11/29,,,特定非営利活動法人旭山動物園くらぶ,,0166-73-6066,,,,,,,,823,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,旭山動物園くらぶパン小屋0166-36-519180121204,b1ae0dd3-3e6e-436c-87bd-32260224f5ec,特定非営利活動法人旭山動物園くらぶ,52d5038b-d340-45bb-92b6-aefef7e9e21b,0a06d4da-ee01-4ea8-9c29-0144e667a0ca,2021/11/29,旭山動物園くらぶパン小屋,旭山動物園くらぶパン小屋,特定非営利活動法人旭山動物園くらぶ
ミートショップまるみや,旭川市6条通17丁目オール商店街,旭川市６条通１７丁目,オール商店街,25-7605,食肉販売業,宮崎修,,R03.11.30,R03.11.30,新規,824,,3,ミートショップまるみや,0166,0166-25-7605,,,,旭川市６条通１７丁目　オール商店街,北海道旭川市六条通１７丁目,オール商店街,8475,1,1204,六条通１７,,2021/11/30,2021/11/30,,,,宮崎修,,,,,,,,,824,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,ミトショップまるみや0166-25-760584751204,c621fa2e-6d69-4cda-8d69-33d9d38c57f8,,personal,2f835348-51db-47d0-960a-e8d1a76dba7a,2021/11/30,ミートショップまるみや,ミトショップまるみや,
コヤナギストアー,旭川市豊岡7条3丁目4-13,旭川市豊岡７条３丁目４－１３,,31-0501,飲食店営業,合同会社コヤナギストアー,31-0501,R03.11.30,R03.11.30,新規,825,,3,コヤナギストアー,0166,0166-31-0501,,,,旭川市豊岡７条３丁目４－１３　,北海道旭川市豊岡七条３丁目４－１３,,7513,1,1204,豊岡七条３,,2021/11/30,2021/11/30,,,合同会社コヤナギストアー,,0166-31-0501,,,,,,,,825,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,コヤナギストア0166-31-050175131204,638ad96d-1347-4fd5-8f4b-d26d35bca45f,合同会社コヤナギストアー,91b6844e-0265-4fe7-8e6b-78a89d284be4,c6576c84-2c48-4b09-a788-9c65d4adf179,2021/11/30,コヤナギストアー,コヤナギストア,合同会社コヤナギストアー
コヤナギストアー,旭川市豊岡7条3丁目4-13,旭川市豊岡７条３丁目４－１３,,31-0501,食肉販売業,合同会社コヤナギストアー,31-0501,R03.11.30,R03.11.30,新規,826,,3,コヤナギストアー,0166,0166-31-0501,,,,旭川市豊岡７条３丁目４－１３　,北海道旭川市豊岡七条３丁目４－１３,,7513,1,1204,豊岡七条３,,2021/11/30,2021/11/30,,,合同会社コヤナギストアー,,0166-31-0501,,,,,,,,826,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,コヤナギストア0166-31-050175131204,638ad96d-1347-4fd5-8f4b-d26d35bca45f,合同会社コヤナギストアー,91b6844e-0265-4fe7-8e6b-78a89d284be4,c338af22-9ede-4f99-b49a-92888c2cd77b,2021/11/30,コヤナギストアー,コヤナギストア,合同会社コヤナギストアー
コヤナギストアー,旭川市豊岡7条3丁目413,旭川市豊岡７条３丁目４１３,,31-0501,魚介類販売業,合同会社コヤナギストアー,31-0501,R03.11.30,R03.11.30,新規,827,,3,コヤナギストアー,0166,0166-31-0501,,,,旭川市豊岡７条３丁目４１３　,北海道旭川市豊岡七条３丁目４１３,,7513,1,1204,豊岡七条３,,2021/11/30,2021/11/30,,,合同会社コヤナギストアー,,0166-31-0501,,,,,,,,827,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,コヤナギストア0166-31-050175131204,638ad96d-1347-4fd5-8f4b-d26d35bca45f,合同会社コヤナギストアー,91b6844e-0265-4fe7-8e6b-78a89d284be4,1c7b4d4e-1186-48ae-884c-5e0807214433,2021/11/30,コヤナギストアー,コヤナギストア,合同会社コヤナギストアー
コヤナギストアー,旭川市豊岡7条3丁目413,旭川市豊岡７条３丁目４１３,,31-0501,漬物製造業,合同会社コヤナギストアー,31-0501,R03.11.30,R03.11.30,新規,828,,3,コヤナギストアー,0166,0166-31-0501,,,,旭川市豊岡７条３丁目４１３　,北海道旭川市豊岡七条３丁目４１３,,7513,1,1204,豊岡七条３,,2021/11/30,2021/11/30,,,合同会社コヤナギストアー,,0166-31-0501,,,,,,,,828,新規,漬物製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,コヤナギストア0166-31-050175131204,638ad96d-1347-4fd5-8f4b-d26d35bca45f,合同会社コヤナギストアー,91b6844e-0265-4fe7-8e6b-78a89d284be4,4ca32493-8773-48ea-8e81-24b7bbea6824,2021/11/30,コヤナギストアー,コヤナギストア,合同会社コヤナギストアー
瑞(ずい),旭川市4条通6丁目404-ヨシタケビル3号館4F,旭川市４条通６丁目４０４,ヨシタケビル３号館４F,73-6757,飲食店営業,会田尚美,,R03.11.30,R03.11.30,新規,829,,3,瑞(ずい),0166,0166-73-6757,,,,旭川市４条通６丁目４０４　ヨシタケビル３号館４F,北海道旭川市四条通６丁目４０４,ヨシタケビル３号館４F,8396,1,1204,四条通６,,2021/11/30,2021/11/30,,,,会田尚美,,,,,,,,,829,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,瑞ずい0166-73-675783961204,b70d19b5-d40f-4c51-999b-ab728ad0195e,,personal,7c86b029-88d0-4390-b3ea-58506a9f8ecf,2021/11/30,瑞（ずい）,瑞ずい,
ダイイチ東旭川店,旭川市東旭川北1条1丁目3-37,旭川市東旭川北１条１丁目３－３７,,36-7210,飲食店営業,株式会社ダイイチ,0155-38-3456,R03.11.30,R03.11.30,新規,830,,3,ダイイチ東旭川店,0166,0166-36-7210,,,,旭川市東旭川北１条１丁目３－３７　,北海道旭川市東旭川北一条１丁目３－３７,,8641,1,1204,東旭川北一条１,,2021/11/30,2021/11/30,,,株式会社ダイイチ,,0155-38-3456,,,,,,,,830,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ダイイチ東旭川店0166-36-721086411204,a805dd93-baf6-43e4-98d4-8207455dd236,株式会社ダイイチ,34f4940e-610f-4b82-b96f-8cfedcd622a0,3b82c556-cb5c-45e5-82a9-05cd1b2ca8be,2021/11/30,ダイイチ東旭川店,ダイイチ東旭川店,株式会社ダイイチ
ダイイチ東旭川店,旭川市東旭川北1条1丁目-37,旭川市東旭川北１条１丁目－３７,,36-7210,菓子製造業,株式会社ダイイチ,0155-38-3456,R03.11.30,R03.11.30,新規,831,,3,ダイイチ東旭川店,0166,0166-36-7210,,,,旭川市東旭川北１条１丁目－３７　,北海道旭川市東旭川北一条１丁目－３７,,8641,1,1204,東旭川北一条１,,2021/11/30,2021/11/30,,,株式会社ダイイチ,,0155-38-3456,,,,,,,,831,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ダイイチ東旭川店0166-36-721086411204,a805dd93-baf6-43e4-98d4-8207455dd236,株式会社ダイイチ,34f4940e-610f-4b82-b96f-8cfedcd622a0,06d3712a-71ec-4cc7-96c7-d1aa8f98ae1e,2021/11/30,ダイイチ東旭川店,ダイイチ東旭川店,株式会社ダイイチ
