https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,申請者1,業種,施設-電話番号1,申請-電話番号1,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,,,営業者氏名,営業の種類,施設電話番号,営業者電話番号,許可番号,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社今田商店,中央区新川１丁目１０番１０号,中央区新川１丁目１０番１０号,,株式会社今田商店,その他の食料・飲料販売業,3551-5885,3551-5885,3中保生食届第2058号,2021/11/29,2021/11/29,,181,株式会社今田商店,03,03-3551-5885,,,,中央区新川１丁目１０番１０号,東京都中央区新川１丁目１０番１０号,,72961,13,13102,新川１,,2021/11/29,2021/11/29,,,株式会社今田商店,,03-3551-5885,,,,,,,,3中保生食届第2058号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,株式会社今田商店03-3551-58857296113102,106c2191-62fe-4922-9238-b9d8de21edd0,株式会社今田商店,c9d822d1-d4dd-445e-b516-072a248f1da4,f5dce1aa-bcd6-4707-adf1-3e0c5067ad96,2021/11/29,株式会社今田商店,株式会社今田商店,株式会社今田商店
あい保育園新川,中央区新川１丁目２６番９号  イワデビル１階２階,中央区新川１丁目２６番９号, イワデビル１階２階,株式会社アイグラン,集団給食施設,5542-0848,082-504-6588,3中保生食届第2077号,2021/12/10,2021/12/10,,181,あい保育園新川,03,03-5542-0848,,,,中央区新川１丁目２６番９号,東京都中央区新川１丁目２６番９号, イワデビル１階２階,72961,13,13102,新川１,,2021/12/10,2021/12/10,,,株式会社アイグラン,,082-504-6588,,,,,,,,3中保生食届第2077号,,給食施設,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),M,77,,,あい保育園新川03-5542-08487296113102,7cbe8779-ba35-4bb9-a547-baaf06263b16,株式会社アイグラン,3c0ae958-aa7a-42b9-ad3a-6ca89a5746f6,27f2d4ef-d477-49e8-bb34-4c4d6655da35,2021/12/10,あい保育園新川,あい保育園新川,株式会社アイグラン
なか卯　八丁堀店,中央区新川１丁目２７番８号  新川大原ビル１階,中央区新川１丁目２７番８号, 新川大原ビル１階,株式会社なか卯,その他の食料・飲料販売業,3552-2591,6833-8820,3中保生食届第1933号,2021/12/1,2021/12/1,,181,なか卯　八丁堀店,03,03-3552-2591,,,,中央区新川１丁目２７番８号,東京都中央区新川１丁目２７番８号, 新川大原ビル１階,72961,13,13102,新川１,,2021/12/01,2021/12/01,,,株式会社なか卯,,03-6833-8820,,,,,,,,3中保生食届第1933号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,なか卯八丁堀店03-3552-25917296113102,acba9db4-7658-4c06-9799-fb7148bda10d,株式会社なか卯,18ec8b9e-b113-4d67-ae26-e6a16b3f4485,7f9fc3e4-f0f1-442b-941a-8fd6664e1b9e,2021/12/01,なか卯　八丁堀店,なか卯八丁堀店,株式会社なか卯
薬局マツモトキヨシ　ｍａｔｓｕｋｉｙｏＬＡＢ　佃二丁目店,中央区佃２丁目１番６号  リバーシティＭ－ＳＱＵＡＲＥ１階,中央区佃２丁目１番６号 ,リバーシティＭ－ＳＱＵＡＲＥ１階,株式会社マツモトキヨシ,その他の食料・飲料販売業,5547-7787,047-344-5111,3中保生食届第2100号,2021/12/22,2021/12/22,,181,薬局マツモトキヨシ　ｍａｔｓｕｋｉｙｏＬＡＢ　佃二丁目店,03,03-5547-7787,,,,中央区佃２丁目１番６号 ,東京都中央区佃２丁目１番６号,リバーシティＭ－ＳＱＵＡＲＥ１階,72977,13,13102,佃２,,2021/12/22,2021/12/22,,,株式会社マツモトキヨシ,,047-344-5111,,,,,,,,3中保生食届第2100号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,薬局マツモトキヨシｍａｔｓｕｋｉｙｏＬＡＢ佃二丁目店03-5547-77877297713102,28b01b1b-fbff-422b-9f1c-28fcb6d0c23c,株式会社マツモトキヨシ,11420c67-4bc6-4df1-92bf-24cfe68b71a7,26abde97-a111-481a-b47e-16fcbe3596a8,2021/12/22,薬局マツモトキヨシ　ｍａｔｓｕｋｉｙｏＬＡＢ　佃二丁目店,薬局マツモトキヨシｍａｔｓｕｋｉｙｏＬＡＢ佃二丁目店,株式会社マツモトキヨシ
清水屋,中央区月島１丁目５番４号  都営地下鉄月島駅,中央区月島１丁目５番４号, 都営地下鉄月島駅,株式会社清水屋食品,その他の食料・飲料販売業,,086-275-0516,3中保生食届第2075号,2021/12/15,2021/12/15,,181,清水屋,03,,,,,中央区月島１丁目５番４号,東京都中央区月島１丁目５番４号, 都営地下鉄月島駅,72965,13,13102,月島１,,2021/12/15,2021/12/15,,,株式会社清水屋食品,,086-275-0516,,,,,,,,3中保生食届第2075号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,清水屋7296513102,8a6579e9-e261-4194-baa0-fe1544076f43,株式会社清水屋食品,4f266499-3142-4b63-b889-4022a95b4731,3047f07d-5485-451f-80a0-005e827bb229,2021/12/15,清水屋,清水屋,株式会社清水屋食品
八百八商店,中央区月島１丁目９番１５号,中央区月島１丁目９番１５号,,泉水　久雄,野菜果物販売業,3531-0069,,3中保生食届第2044号,2021/12/6,2021/12/6,,181,八百八商店,03,03-3531-0069,,,,中央区月島１丁目９番１５号,東京都中央区月島１丁目９番１５号,,72965,13,13102,月島１,,2021/12/06,2021/12/06,,,,泉水　久雄,,,,,,,,,3中保生食届第2044号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,八百八商店03-3531-00697296513102,884a18c1-c6a5-4261-a5cb-e160823a85e7,,personal,e77daf26-4e2b-402b-a307-bdff7fb58e01,2021/12/06,八百八商店,八百八商店,
どらっぐぱぱす　月島１丁目店,中央区月島１丁目２６番５号  １階・２階,中央区月島１丁目２６番５号,１階・２階,株式会社ぱぱす,その他の食料・飲料販売業,3531-9341,5610-8811,3中保生食届第2104号,2021/12/22,2021/12/22,,181,どらっぐぱぱす　月島１丁目店,03,03-3531-9341,,,,中央区月島１丁目２６番５号,東京都中央区月島１丁目２６番５号,１階・２階,72965,13,13102,月島１,,2021/12/22,2021/12/22,,,株式会社ぱぱす,,03-5610-8811,,,,,,,,3中保生食届第2104号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,どらっぐぱぱす月島１丁目店03-3531-93417296513102,92fd0665-cf49-4558-a602-3c584c7c8887,株式会社ぱぱす,671fbeea-600b-4739-bcf1-84965636c11e,b01150a7-9deb-4ed4-a581-9e1ca37c8a4f,2021/12/22,どらっぐぱぱす　月島１丁目店,どらっぐぱぱす月島１丁目店,株式会社ぱぱす
どらっぐぱぱす月島店,中央区月島２丁目１０番２号  ムーンアイランドタワー１階,中央区月島２丁目１０番２号, ムーンアイランドタワー１階,株式会社ぱぱす,その他の食料・飲料販売業,3531-9393,5610-8811,3中保生食届第2103号,2021/12/22,2021/12/22,,181,どらっぐぱぱす月島店,03,03-3531-9393,,,,中央区月島２丁目１０番２号,東京都中央区月島２丁目１０番２号, ムーンアイランドタワー１階,72966,13,13102,月島２,,2021/12/22,2021/12/22,,,株式会社ぱぱす,,03-5610-8811,,,,,,,,3中保生食届第2103号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,どらっぐぱぱす月島店03-3531-93937296613102,6ca14d86-efbf-42f5-9350-59e9e518b2db,株式会社ぱぱす,671fbeea-600b-4739-bcf1-84965636c11e,fd89ea4a-1b20-4acf-864b-4e0338c34ee1,2021/12/22,どらっぐぱぱす月島店,どらっぐぱぱす月島店,株式会社ぱぱす
太陽のマルシェ（シフォンタイム）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,シフォンタイム合同会社,その他の食料・飲料販売業,4563-8553,5691-5728,3中保生食届第2130号,2021/12/24,2021/12/24,,181,太陽のマルシェ（シフォンタイム）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,シフォンタイム合同会社,,03-5691-5728,,,,,,,,3中保生食届第2130号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェシフォンタイム03-4563-85537294413102,915d5fe5-863e-42be-af40-1ead138de091,シフォンタイム合同会社,51ebba01-f904-4e34-b3eb-45d02838a1c2,48cea865-2430-4040-99bc-daf70a384c94,2021/12/24,太陽のマルシェ（シフォンタイム）,太陽のマルシェシフォンタイム,シフォンタイム合同会社
太陽のマルシェ（日本の旨み山椒専門店ＺＡＮＳＨＯ－Ｐ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,ジャパンフレバリング株式会社,その他の食料・飲料販売業,4563-8553,6869-6973,3中保生食届第2027号,2021/12/2,2021/12/2,,181,太陽のマルシェ（日本の旨み山椒専門店ＺＡＮＳＨＯ－Ｐ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,ジャパンフレバリング株式会社,,03-6869-6973,,,,,,,,3中保生食届第2027号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェ日本の旨み山椒専門店ＺＡＮＳＨＯＰ03-4563-85537294413102,49fff4b8-e79f-4124-97c2-0ff0d6a51f1b,ジャパンフレバリング株式会社,74c84b10-afbf-456c-b34c-c74d1fe0e8d7,578ff36c-3250-4ec1-bb52-abd708a0535e,2021/12/02,太陽のマルシェ（日本の旨み山椒専門店ＺＡＮＳＨＯ－Ｐ）,太陽のマルシェ日本の旨み山椒専門店ＺＡＮＳＨＯＰ,ジャパンフレバリング株式会社
太陽のマルシェ（Ｅａｔ　Ｇｏｏｄ　Ｆｏｏｄ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,阿佐美　慶和,野菜果物販売業,4563-8553,,3中保生食届第2023号,2021/12/2,2021/12/2,,181,太陽のマルシェ（Ｅａｔ　Ｇｏｏｄ　Ｆｏｏｄ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,,阿佐美　慶和,,,,,,,,,3中保生食届第2023号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェＥａｔＧｏｏｄＦｏｏｄ03-4563-85537294413102,c0e0459c-8c1e-49dd-9135-44814d1f80d1,,personal,849c12c6-492a-41fd-a743-473e9db70f03,2021/12/02,太陽のマルシェ（Ｅａｔ　Ｇｏｏｄ　Ｆｏｏｄ）,太陽のマルシェＥａｔＧｏｏｄＦｏｏｄ,
太陽のマルシェ（やさとファーマーズ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,磯　直輝,野菜果物販売業,4563-8553,,3中保生食届第2129号,2021/12/24,2021/12/24,,181,太陽のマルシェ（やさとファーマーズ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,,磯　直輝,,,,,,,,,3中保生食届第2129号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェやさとファマズ03-4563-85537294413102,afcbbd14-c1fe-4432-8f81-c8a2391e3230,,personal,043b5cdd-5a9d-4ce0-9c0b-b4a61a72f9a3,2021/12/24,太陽のマルシェ（やさとファーマーズ）,太陽のマルシェやさとファマズ,
太陽のマルシェ（遠忠商店）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,遠忠食品株式会社,その他の食料・飲料販売業,4563-8553,3666-3012,3中保生食届第2024号,2021/12/2,2021/12/2,,181,太陽のマルシェ（遠忠商店）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,遠忠食品株式会社,,03-3666-3012,,,,,,,,3中保生食届第2024号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェ遠忠商店03-4563-85537294413102,450fcf8f-e0e0-4cca-8a77-0ea32ea5494f,遠忠食品株式会社,5718b4c9-3c45-4646-82fa-834eecf3ce70,bbdf0a1a-3755-454e-8628-ea46aab948f4,2021/12/02,太陽のマルシェ（遠忠商店）,太陽のマルシェ遠忠商店,遠忠食品株式会社
太陽のマルシェ（つきじ天狐）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,株式会社Ｂｏｏｓｔ　Ｄｅｓｉｇｎ,弁当販売業,4563-8553,,3中保生食届第2025号,2021/12/2,2021/12/2,,181,太陽のマルシェ（つきじ天狐）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,株式会社Ｂｏｏｓｔ　Ｄｅｓｉｇｎ,,,,,,,,,,3中保生食届第2025号,,弁当販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,581,5811,太陽のマルシェつきじ天狐03-4563-85537294413102,6b1f906f-5720-4432-bb3b-ae0956cab8db,株式会社Ｂｏｏｓｔ　Ｄｅｓｉｇｎ,210628a3-4500-4d19-ae3c-7bb6a99e2849,02e191b6-700e-4e78-975b-e6b9ac8f427e,2021/12/02,太陽のマルシェ（つきじ天狐）,太陽のマルシェつきじ天狐,株式会社Ｂｏｏｓｔ　Ｄｅｓｉｇｎ
太陽のマルシェ（昔のとうふ屋さん小の久）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,株式会社Ｄｅａｌｉｚｅ,その他の食料・飲料販売業,4563-8553,055-955-5425,3中保生食届第2127号,2021/12/24,2021/12/24,,181,太陽のマルシェ（昔のとうふ屋さん小の久）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,株式会社Ｄｅａｌｉｚｅ,,055-955-5425,,,,,,,,3中保生食届第2127号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェ昔のとうふ屋さん小の久03-4563-85537294413102,e7579288-7729-454a-8870-ecdf1c188967,株式会社Ｄｅａｌｉｚｅ,a50362e4-76d0-4bf5-9ab3-310080de8407,8340372a-62cf-49e6-80ac-cad6343cc642,2021/12/24,太陽のマルシェ（昔のとうふ屋さん小の久）,太陽のマルシェ昔のとうふ屋さん小の久,株式会社Ｄｅａｌｉｚｅ
太陽のマルシェ（つつむ青果）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,株式会社ＹＭ商店,野菜果物販売業,,,3中保生食届第2045号,2021/12/2,2021/12/2,,181,太陽のマルシェ（つつむ青果）,03,,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,株式会社ＹＭ商店,,,,,,,,,,3中保生食届第2045号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェつつむ青果7294413102,7e29b9eb-fba1-4b1b-a3c8-95b89e17311e,株式会社ＹＭ商店,aefe2b56-09dc-4751-aca8-1a0789e448c1,95273221-8898-457b-b96e-c3cc4a2a34fc,2021/12/02,太陽のマルシェ（つつむ青果）,太陽のマルシェつつむ青果,株式会社ＹＭ商店
太陽のマルシェ（わつふる堂）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,株式会社三柑堂,その他の食料・飲料販売業,,,3中保生食届第2046号,2021/12/2,2021/12/2,,181,太陽のマルシェ（わつふる堂）,03,,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,株式会社三柑堂,,,,,,,,,,3中保生食届第2046号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェわつふる堂7294413102,89d26c92-0cdd-4cc8-9074-9830badb88d3,株式会社三柑堂,ba2b686a-1963-4095-99f7-c8b5fef8ae3e,0a88189e-d56a-4875-9bdd-41ffb1ae0c71,2021/12/02,太陽のマルシェ（わつふる堂）,太陽のマルシェわつふる堂,株式会社三柑堂
太陽のマルシェ（甲州きくらげ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,株式会社山梨ＢＡＳＥ,野菜果物販売業,4563-8553,,3中保生食届第2019号,2021/12/2,2021/12/2,,181,太陽のマルシェ（甲州きくらげ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,株式会社山梨ＢＡＳＥ,,,,,,,,,,3中保生食届第2019号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェ甲州きくらげ03-4563-85537294413102,3ad6a362-6b91-4eb4-830a-506a736db360,株式会社山梨ＢＡＳＥ,2f23b49f-f8be-4b70-a7fc-aadc375945f4,680c83da-0b95-43ff-9276-bcd90284df78,2021/12/02,太陽のマルシェ（甲州きくらげ）,太陽のマルシェ甲州きくらげ,株式会社山梨ＢＡＳＥ
太陽のマルシェ（京葱ＳＡＭＵＲＡＩ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,京葱ＳＡＭＵＲＡＩ株式会社,野菜果物販売業,4563-8553,075-633-5880,3中保生食届第2021号,2021/12/2,2021/12/2,,181,太陽のマルシェ（京葱ＳＡＭＵＲＡＩ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,京葱ＳＡＭＵＲＡＩ株式会社,,075-633-5880,,,,,,,,3中保生食届第2021号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェ京葱ＳＡＭＵＲＡＩ03-4563-85537294413102,762c9542-4a73-4233-a227-c4de327b3428,京葱ＳＡＭＵＲＡＩ株式会社,fffe0786-5814-4eb0-9d29-34b44b1110c8,51462306-366e-46de-8ebb-bb6040e175f2,2021/12/02,太陽のマルシェ（京葱ＳＡＭＵＲＡＩ）,太陽のマルシェ京葱ＳＡＭＵＲＡＩ,京葱ＳＡＭＵＲＡＩ株式会社
太陽のマルシェ（いもねぎ屋）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,興梠　裕保,野菜果物販売業,4563-8553,,3中保生食届第2017号,2021/12/2,2021/12/2,,181,太陽のマルシェ（いもねぎ屋）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,,興梠　裕保,,,,,,,,,3中保生食届第2017号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェいもねぎ屋03-4563-85537294413102,c4b7bb52-7fa7-44a1-a7c3-566482ec1a9b,,personal,7ba67204-9822-4264-808c-10e5323ffde0,2021/12/02,太陽のマルシェ（いもねぎ屋）,太陽のマルシェいもねぎ屋,
太陽のマルシェ（零菜ＺＥＲＯＳＡＩ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,合同会社守破離農園,野菜果物販売業,4563-8553,,3中保生食届第2020号,2021/12/2,2021/12/2,,181,太陽のマルシェ（零菜ＺＥＲＯＳＡＩ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,合同会社守破離農園,,,,,,,,,,3中保生食届第2020号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェ零菜ＺＥＲＯＳＡＩ03-4563-85537294413102,c5900237-d785-480c-a415-5d349a865e83,合同会社守破離農園,8b7896df-b0eb-4ddb-a124-c7517b656dab,bd8710e0-b0cc-4d34-87ed-c63ecc6c8ec1,2021/12/02,太陽のマルシェ（零菜ＺＥＲＯＳＡＩ）,太陽のマルシェ零菜ＺＥＲＯＳＡＩ,合同会社守破離農園
太陽のマルシェ（ｋｏｓ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,作間　可奈子,その他の食料・飲料販売業,4563-8553,,3中保生食届第2131号,2021/12/24,2021/12/24,,181,太陽のマルシェ（ｋｏｓ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,,作間　可奈子,,,,,,,,,3中保生食届第2131号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェｋｏｓ03-4563-85537294413102,ddad5236-c95e-43e6-8d0d-36e534c20a4e,,personal,a4793a18-146b-472c-9a6e-d282d0712dc2,2021/12/24,太陽のマルシェ（ｋｏｓ）,太陽のマルシェｋｏｓ,
太陽のマルシェ（甲府おやさい市場菅沼農園）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,菅沼　祐介,野菜果物販売業,4563-8553,,3中保生食届第2128号,2021/12/24,2021/12/24,,181,太陽のマルシェ（甲府おやさい市場菅沼農園）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,,菅沼　祐介,,,,,,,,,3中保生食届第2128号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,太陽のマルシェ甲府おやさい市場菅沼農園03-4563-85537294413102,195ce4de-82e4-4624-bacd-1e80bfb168e9,,personal,ea8fc375-d795-4c35-8fe7-0f95425bcb1c,2021/12/24,太陽のマルシェ（甲府おやさい市場菅沼農園）,太陽のマルシェ甲府おやさい市場菅沼農園,
太陽のマルシェ（ｆｏｙｅｒ）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,清水　陽子,その他の食料・飲料販売業,4563-8553,,3中保生食届第2132号,2021/12/24,2021/12/24,,181,太陽のマルシェ（ｆｏｙｅｒ）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/24,2021/12/24,,,,清水　陽子,,,,,,,,,3中保生食届第2132号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェｆｏｙｅｒ03-4563-85537294413102,8e9f6642-131e-4870-ab7b-8e1b24b61d6a,,personal,d91d388a-c0c0-49e6-9d01-0952443b8573,2021/12/24,太陽のマルシェ（ｆｏｙｅｒ）,太陽のマルシェｆｏｙｅｒ,
太陽のマルシェ（石坂オーガニックファーム）,中央区勝どき１丁目９番８号  月島第二児童公園,中央区勝どき１丁目９番８号, 月島第二児童公園,石坂オーガニックファーム株式会社,その他の食料・飲料販売業,4563-8553,049-259-5800,3中保生食届第2018号,2021/12/2,2021/12/2,,181,太陽のマルシェ（石坂オーガニックファーム）,03,03-4563-8553,,,,中央区勝どき１丁目９番８号,東京都中央区勝どき１丁目９番８号, 月島第二児童公園,72944,13,13102,勝どき１,,2021/12/02,2021/12/02,,,石坂オーガニックファーム株式会社,,049-259-5800,,,,,,,,3中保生食届第2018号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,太陽のマルシェ石坂オガニックファム03-4563-85537294413102,9015b83b-7a38-4f82-aded-ebd8bc505452,石坂オーガニックファーム株式会社,aca7bf40-6287-4af1-b3de-96caca6c7990,33c5f7a6-8ab4-4def-8c1a-1c7556690c27,2021/12/02,太陽のマルシェ（石坂オーガニックファーム）,太陽のマルシェ石坂オガニックファム,石坂オーガニックファーム株式会社
