https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所1,施設-住所2,施設-住所3,施設-マンション名,確認番号,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名,所在地,,,マンション名等（営業施設）,許可番号,許可年月日,有効年月日,開設年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,市田精肉店,富山市,新庄町一丁目,１６番１０号,,22AK0014,2022/5/1,2027/4/30,1985/5/15,,211,市田精肉店,076,,,,,富山市　新庄町一丁目　１６番１０号,富山県富山市新庄町１丁目１６番１０号,,90888,16,16201,新庄町１,,1985/05/15,2022/05/01,,2027/04/30,,,,,,,,,,,22AK0014,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,市田精肉店9088816201,49729fa7-b312-4a1d-866b-c94b120019cb,,personal,53974aab-781a-4b52-a489-008aa93f0da3,2022/05/01,市田精肉店,市田精肉店,
③ 食肉販売業,アピタ富山東店,富山市,上冨居三丁目,８－３８,,22BF0007,2022/5/1,2028/4/30,1998/10/15,,211,アピタ富山東店,076,,,,,富山市　上冨居三丁目　８－３８,富山県富山市上冨居３丁目８－３８,,90789,16,16201,上冨居３,,1998/10/15,2022/05/01,,2028/04/30,,,,,,,,,,,22BF0007,,食肉販売業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,I,58,583,,アピタ富山東店9078916201,875d693d-dd06-4a8d-918c-ce94ab7af988,,personal,d882e745-e9d7-4229-b2e4-0bb98cc1eea0,2022/05/01,アピタ富山東店,アピタ富山東店,
③ 食肉販売業,市田精肉店,富山市,新庄町一丁目,１６番１０号,,22BF0011,2022/5/1,2027/4/30,1978/4/25,,211,市田精肉店,076,,,,,富山市　新庄町一丁目　１６番１０号,富山県富山市新庄町１丁目１６番１０号,,90888,16,16201,新庄町１,,1978/04/25,2022/05/01,,2027/04/30,,,,,,,,,,,22BF0011,,食肉販売業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,I,58,583,,市田精肉店9088816201,49729fa7-b312-4a1d-866b-c94b120019cb,,personal,d2e19ec9-c42d-4bf9-8678-9be22b49bd80,2022/05/01,市田精肉店,市田精肉店,
④ 魚介類販売業,アピタ富山東店,富山市,上冨居三丁目,８－３８,,22BD0012,2022/5/1,2028/4/30,1998/10/15,,211,アピタ富山東店,076,,,,,富山市　上冨居三丁目　８－３８,富山県富山市上冨居３丁目８－３８,,90789,16,16201,上冨居３,,1998/10/15,2022/05/01,,2028/04/30,,,,,,,,,,,22BD0012,,魚介類販売業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,I,58,,,アピタ富山東店9078916201,875d693d-dd06-4a8d-918c-ce94ab7af988,,personal,e5124ff2-7298-43c5-91d1-18d863ec9c90,2022/05/01,アピタ富山東店,アピタ富山東店,
⑪ 菓子製造業,山崎製餡所,富山市,赤江町,7-4,,22CA0021,2022/5/1,2027/4/30,2017/5/1,,211,山崎製餡所,076,,,,,富山市　赤江町　7-4,富山県富山市赤江町７－４,,90627,16,16201,赤江町,,2017/05/01,2022/05/01,,2027/04/30,,,,,,,,,,,22CA0021,,菓子製造業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,E,9,,,山崎製餡所9062716201,88b33264-1ae4-4868-9ca5-1d210f65c3cf,,personal,c27038fc-7652-4e82-9338-bbc7fc70b853,2022/05/01,山崎製餡所,山崎製餡所,
① 飲食店営業,焼肉きんぐ富山掛尾店,富山市,掛尾町,４６－１,,22AA0042,2022/4/14,2029/3/31,2022/4/14,,211,焼肉きんぐ富山掛尾店,076,,,,,富山市　掛尾町　４６－１,富山県富山市掛尾町４６－１,,90763,16,16201,掛尾町,,2022/04/14,2022/04/14,,2029/03/31,,,,,,,,,,,22AA0042,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,焼肉きんぐ富山掛尾店9076316201,cc60a600-84a7-449e-8df5-e53ed3e50ce2,,personal,9444a1b2-fb82-4b53-b669-d2a118995135,2022/04/14,焼肉きんぐ富山掛尾店,焼肉きんぐ富山掛尾店,
① 飲食店営業,金剛化学株式会社,富山市,日俣,３,,22AA0003,2022/4/1,2028/3/31,2022/4/1,,211,金剛化学株式会社,076,,,,,富山市　日俣　３,富山県富山市日俣３,,91112,16,16201,日俣,,2022/04/01,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0003,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,金剛化学株式会社9111216201,e2aa7525-025f-48f7-b7c6-dfa7fadede08,,personal,b6be45ca-357b-4818-a0b0-42bded0f101e,2022/04/01,金剛化学株式会社,金剛化学株式会社,
① 飲食店営業,こうなんの家厨房,富山市,蜷川,１１－６,,22AA0004,2022/4/1,2028/3/31,2015/10/31,,211,こうなんの家厨房,076,,,,,富山市　蜷川　１１－６,富山県富山市蜷川１１－６,,91056,16,16201,蜷川,,2015/10/31,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0004,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,こうなんの家厨房9105616201,34872a4e-f1c6-4bb3-973c-eeb94ea1e664,,personal,03ecd669-7816-475b-b31d-2cb049e6ae02,2022/04/01,こうなんの家厨房,こうなんの家厨房,
① 飲食店営業,射水万葉会天正寺サポートセンター,富山市,天正寺,４８４－１,,22AA0005,2022/4/1,2029/3/31,2009/3/1,,211,射水万葉会天正寺サポートセンター,076,,,,,富山市　天正寺　４８４－１,富山県富山市天正寺４８４－１,,90981,16,16201,天正寺,,2009/03/01,2022/04/01,,2029/03/31,,,,,,,,,,,22AA0005,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,射水万葉会天正寺サポトセンタ9098116201,03ce779c-e599-4afe-9c31-b3e455adc6f1,,personal,613672f1-2774-4e8e-adb6-02acdc97fab0,2022/04/01,射水万葉会天正寺サポートセンター,射水万葉会天正寺サポトセンタ,
① 飲食店営業,くすくすダイニング,富山市,新根塚町一丁目,９－４５,,22AA0006,2022/4/1,2027/3/31,1997/5/26,,211,くすくすダイニング,076,,,,,富山市　新根塚町一丁目　９－４５,富山県富山市新根塚町１丁目９－４５,,91419,16,16201,新根塚町１,,1997/05/26,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0006,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,くすくすダイニング9141916201,f93d326a-5d74-4c68-8264-384da89132c2,,personal,8ed1cb2b-7cc8-40a0-b725-9c6e7acb926d,2022/04/01,くすくすダイニング,くすくすダイニング,
