https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,届出日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
０H３４８８兵庫  ,兵庫県,尼崎市食満２－２２－１,尼崎市食満２－２２－１,,06-6494-9966  ,グリーンホスピタリティフードマネジメント株式会社,新宿区西新宿３－２０－２,新宿区西新宿３－２０－２,,06-6444-5723  ,R03.12.01,尼崎市指令(尼保生）,第1-01806号,飲食店営業,,305,０H３４８８兵庫  ,06,06-6494-9966,,,,兵庫県　尼崎市食満２－２２－１,兵庫県尼崎市食満２－２２－１,,167134,28,28202,食満２,2021/12/01,,,,,グリーンホスピタリティフードマネジメント株式会社,,06-6444-5723  ,新宿区西新宿３－２０－２,東京都新宿区西新宿３－２０－２,,73259,東京都,新宿区,西新宿３,尼崎市指令(尼保生）第1-01806号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,０Ｈ３４８８兵庫06-6494-996616713428202,9338f107-0638-487f-ba65-dc89b2260a09,グリーンホスピタリティフードマネジメント株式会社73259,70eb463a-2179-47b2-8fcb-437da6fa1c37,94fdaef2-4879-4d39-ac59-af4aba8cb269,2021/12/01,０Ｈ３４８８兵庫　,０Ｈ３４８８兵庫,グリーンホスピタリティフードマネジメント株式会社
ピザポケット　園田店  ,兵庫県,尼崎市東園田町１－３５２ポピーハイツ１０１,尼崎市東園田町１－３５２,ポピーハイツ１０１,06-6492-6174  ,ポケットフーズ株式会社,北葛城郡上牧町ささゆり台３－１－１,北葛城郡上牧町ささゆり台３－１－１,,0745-71-0101  ,R03.12.01,尼崎市指令(尼保生）,第1-01817号,飲食店営業,,305,ピザポケット　園田店  ,06,06-6492-6174,,,,兵庫県　尼崎市東園田町１－３５２,兵庫県尼崎市東園田町１－３５２,ポピーハイツ１０１,166977,28,28202,東園田町１,2021/12/01,,,,,ポケットフーズ株式会社,,0745-71-0101  ,北葛城郡上牧町ささゆり台３－１－１,奈良県北葛城郡上牧町ささゆり台３－１－１,,174336,奈良県,北葛城郡上牧町,ささゆり台３,尼崎市指令(尼保生）第1-01817号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ピザポケット園田店06-6492-617416697728202,a5f6612a-1ffa-41b1-bdb6-9e95710a9122,ポケットフーズ株式会社174336,63a887d0-584e-4d88-afb8-f2681159a244,ab30c997-1e13-4439-b94f-b076b2a2351d,2021/12/01,ピザポケット　園田店　,ピザポケット園田店,ポケットフーズ株式会社
廻る　元禄寿司　尼崎店  ,兵庫県,尼崎市神田中通５－２０３,尼崎市神田中通５－２０３,,06-6413-2449  ,元禄産業株式会社,東大阪市足代１－１２－１,東大阪市足代１－１２－１,,06-6727-8209  ,R03.12.01,尼崎市指令(尼保生）,第1-01829号,飲食店営業,,305,廻る　元禄寿司　尼崎店  ,06,06-6413-2449,,,,兵庫県　尼崎市神田中通５－２０３,兵庫県尼崎市神田中通５－２０３,,166755,28,28202,神田中通５,2021/12/01,,,,,元禄産業株式会社,,06-6727-8209  ,東大阪市足代１－１２－１,大阪府東大阪市足代１－１２－１,,161707,大阪府,東大阪市,足代１,尼崎市指令(尼保生）第1-01829号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,廻る元禄寿司尼崎店06-6413-244916675528202,37138bdb-f25a-4a52-afb5-4f4ebe0ef6da,元禄産業株式会社161707,042b727a-58ea-4176-a4de-b2ff1b1c27bc,3cd54931-c54b-4e0b-adbb-a0eb4b24d6f0,2021/12/01,廻る　元禄寿司　尼崎店　,廻る元禄寿司尼崎店,元禄産業株式会社
カラオケＢａｎＢａｎ尼崎大庄店  ,兵庫県,尼崎市大庄西町２－２０－４１,尼崎市大庄西町２－２０－４１,,,株式会社シン・コーポレーション,新宿区山吹町３４６－６,新宿区山吹町３４６－６,,03-5225-1410  ,R03.12.01,尼崎市指令(尼保生）,第1-01834号,飲食店営業,,305,カラオケＢａｎＢａｎ尼崎大庄店  ,06,,,,,兵庫県　尼崎市大庄西町２－２０－４１,兵庫県尼崎市大庄西町２－２０－４１,,167118,28,28202,大庄西町２,2021/12/01,,,,,株式会社シン・コーポレーション,,03-5225-1410  ,新宿区山吹町３４６－６,東京都新宿区山吹町３４６－６,,73288,東京都,新宿区,山吹町,尼崎市指令(尼保生）第1-01834号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,カラオケＢａｎＢａｎ尼崎大庄店16711828202,64cd2743-2c64-41f1-b785-0b87714fb8cf,株式会社シン・コーポレーション73288,4dc22570-f5ad-4e57-ba1d-d0fed8992cbb,3504ff16-8a74-46f2-884c-243199228cb4,2021/12/01,カラオケＢａｎＢａｎ尼崎大庄店　,カラオケＢａｎＢａｎ尼崎大庄店,株式会社シン・コーポレーション
鮮魚つくし  ,兵庫県,尼崎市神田南通３－６０－２５,尼崎市神田南通３－６０－２５,,06-6411-4274  ,有限会社筑紫商店,尼崎市神田南通２－４２,尼崎市神田南通２－４２,,06-6411-4274  ,R03.12.01,尼崎市指令(尼保生）,第1-01838号,そうざい製造業,,305,鮮魚つくし  ,06,06-6411-4274,,,,兵庫県　尼崎市神田南通３－６０－２５,兵庫県尼崎市神田南通３－６０－２５,,166762,28,28202,神田南通３,2021/12/01,,,,,有限会社筑紫商店,,06-6411-4274  ,尼崎市神田南通２－４２,兵庫県尼崎市神田南通２－４２,,166761,兵庫県,尼崎市,神田南通２,尼崎市指令(尼保生）第1-01838号,,そうざい製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,鮮魚つくし06-6411-427416676228202,5ef7e8d2-9be1-41d5-8bc8-aad815c0238b,有限会社筑紫商店166761,29945783-6061-4825-86ae-a7c9bdf4d10f,d73620df-cd52-4e02-bfb6-2c4f1ae61e65,2021/12/01,鮮魚つくし　,鮮魚つくし,有限会社筑紫商店
Ｊｉｎ  ,兵庫県,尼崎市昭和南通４－６８－３セントラルパークビル４Ｆ,尼崎市昭和南通４－６８－３,セントラルパークビル４Ｆ,06-6412-5566  ,株式会社Ｊｉｎ,尼崎市神田北通３－３０－４Ｆ,尼崎市神田北通３－３０,４Ｆ,06-6415-7700  ,R03.12.01,尼崎市指令(尼保生）,第1-01857号,飲食店営業,,305,Ｊｉｎ  ,06,06-6412-5566,,,,兵庫県　尼崎市昭和南通４－６８－３,兵庫県尼崎市昭和南通４－６８－３,セントラルパークビル４Ｆ,166826,28,28202,昭和南通４,2021/12/01,,,,,株式会社Ｊｉｎ,,06-6415-7700  ,尼崎市神田北通３－３０,兵庫県尼崎市神田北通３－３０,４Ｆ,166744,兵庫県,尼崎市,神田北通３,尼崎市指令(尼保生）第1-01857号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,Ｊｉｎ06-6412-556616682628202,2c4fe1fd-e7c7-409a-999e-c6f6243e9089,株式会社Ｊｉｎ166744,943cca1f-c62b-4aec-91ed-539fdfd7b677,6f3432ad-6512-4f96-8d8e-4e483974967b,2021/12/01,Ｊｉｎ　,Ｊｉｎ,株式会社Ｊｉｎ
松のや　ＪＲ尼崎店  ,兵庫県,尼崎市長洲本通１－４－２レジュールアッシュ尼崎駅前１Ｆ,尼崎市長洲本通１－４－２,レジュールアッシュ尼崎駅前１Ｆ,06-6482-1191  ,株式会社松屋フーズ,武蔵野市中町１－１４－５,武蔵野市中町１－１４－５,,0422-38-1121  ,R03.12.01,尼崎市指令(尼保生）,第1-01864号,飲食店営業,,305,松のや　ＪＲ尼崎店  ,06,06-6482-1191,,,,兵庫県　尼崎市長洲本通１－４－２,兵庫県尼崎市長洲本通１－４－２,レジュールアッシュ尼崎駅前１Ｆ,166923,28,28202,長洲本通１,2021/12/01,,,,,株式会社松屋フーズ,,0422-38-1121  ,武蔵野市中町１－１４－５,東京都武蔵野市中町１－１４－５,,76309,東京都,武蔵野市,中町１,尼崎市指令(尼保生）第1-01864号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,松のやＪＲ尼崎店06-6482-119116692328202,28062437-247f-40e4-a6a5-147487c5d9d6,株式会社松屋フーズ76309,3cda28ad-57cc-43e9-ba31-6d86706437e3,4927da5d-cc53-4459-a117-46c99583ac55,2021/12/01,松のや　ＪＲ尼崎店　,松のやＪＲ尼崎店,株式会社松屋フーズ
株式会社龍嘻飯店  ,兵庫県,尼崎市末広町１－８－１,尼崎市末広町１－８－１,,06-6419-7051  ,株式会社龍嘻飯店,尼崎市末広町１－８－１,尼崎市末広町１－８－１,,06-6419-7051  ,R03.12.01,尼崎市指令(尼保生）,第1-01866号,ソース類製造業,,305,株式会社龍嘻飯店  ,06,06-6419-7051,,,,兵庫県　尼崎市末広町１－８－１,兵庫県尼崎市末広町１－８－１,,166837,28,28202,末広町１,2021/12/01,,,,,株式会社龍嘻飯店,,06-6419-7051  ,尼崎市末広町１－８－１,兵庫県尼崎市末広町１－８－１,,166837,兵庫県,尼崎市,末広町１,尼崎市指令(尼保生）第1-01866号,,ソース類製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,株式会社龍嘻飯店06-6419-705116683728202,0b89e30c-adc7-40ad-840e-f83442166ea9,株式会社龍嘻飯店166837,437c3c2f-c811-4faf-9b54-feabe72b9798,daa29a85-1fb7-4df5-9f00-629af06ca5ab,2021/12/01,株式会社龍嘻飯店　,株式会社龍嘻飯店,株式会社龍嘻飯店
神鋼鋼線工業株式会社　神鋼鋼線尼崎寮  ,兵庫県,尼崎市大庄中通２－９,尼崎市大庄中通２－９,,06-6411-2466  ,マインフーズサービス株式会社,尼崎市三反田町２－２０－９,尼崎市三反田町２－２０－９,,06-6427-4633  ,R03.12.01,尼崎市指令(尼保生）,第1-01870号,飲食店営業,,305,神鋼鋼線工業株式会社　神鋼鋼線尼崎寮  ,06,06-6411-2466,,,,兵庫県　尼崎市大庄中通２－９,兵庫県尼崎市大庄中通２－９,,166718,28,28202,大庄中通２,2021/12/01,,,,,マインフーズサービス株式会社,,06-6427-4633  ,尼崎市三反田町２－２０－９,兵庫県尼崎市三反田町２－２０－９,,166799,兵庫県,尼崎市,三反田町２,尼崎市指令(尼保生）第1-01870号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,神鋼鋼線工業株式会社神鋼鋼線尼崎寮06-6411-246616671828202,80f24f4a-a29b-4d07-a6f9-2d4824802199,マインフーズサービス株式会社166799,f49b47e7-58ff-4dcf-8fd8-acfd7ec004ee,d5ead474-de93-4d8b-a011-d6dc8c8b9a86,2021/12/01,神鋼鋼線工業株式会社神鋼鋼線尼崎寮　,神鋼鋼線工業株式会社神鋼鋼線尼崎寮,マインフーズサービス株式会社
神鋼鋼線工業株式会社　線輪倶楽部  ,兵庫県,尼崎市中浜町２６－１,尼崎市中浜町２６－１,,06-6419-1032  ,マインフーズサービス株式会社,尼崎市三反田町２－２０－９,尼崎市三反田町２－２０－９,,06-6427-4633  ,R03.12.01,尼崎市指令(尼保生）,第1-01871号,飲食店営業,,305,神鋼鋼線工業株式会社　線輪倶楽部  ,06,06-6419-1032,,,,兵庫県　尼崎市中浜町２６－１,兵庫県尼崎市中浜町２６－１,,166913,28,28202,中浜町,2021/12/01,,,,,マインフーズサービス株式会社,,06-6427-4633  ,尼崎市三反田町２－２０－９,兵庫県尼崎市三反田町２－２０－９,,166799,兵庫県,尼崎市,三反田町２,尼崎市指令(尼保生）第1-01871号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,神鋼鋼線工業株式会社線輪倶楽部06-6419-103216691328202,b51d221f-53b4-415e-8ac3-8aba81d10725,マインフーズサービス株式会社166799,f49b47e7-58ff-4dcf-8fd8-acfd7ec004ee,2744032a-1a1a-42a6-8703-1eb1c3a7d3f1,2021/12/01,神鋼鋼線工業株式会社線輪倶楽部　,神鋼鋼線工業株式会社線輪倶楽部,マインフーズサービス株式会社
Ｖｉｎ　Ｖｉｎ　ＢＡＬ  ,兵庫県,尼崎市神田北通１－２－１Ｆ,尼崎市神田北通１－２,１Ｆ,06-6430-1277  ,株式会社ＧＲＡＣＥ　ＴＥＲＲＡ,西宮市久出ケ谷町１０－２０,西宮市久出ケ谷町１０－２０,,0798-20-8722  ,R03.12.01,尼崎市指令(尼保生）,第1-01898号,飲食店営業,,305,Ｖｉｎ　Ｖｉｎ　ＢＡＬ  ,06,06-6430-1277,,,,兵庫県　尼崎市神田北通１－２,兵庫県尼崎市神田北通１－２,１Ｆ,166742,28,28202,神田北通１,2021/12/01,,,,,株式会社ＧＲＡＣＥ　ＴＥＲＲＡ,,0798-20-8722  ,西宮市久出ケ谷町１０－２０,兵庫県西宮市久出が谷町１０－２０,,167459,兵庫県,西宮市,久出が谷町,尼崎市指令(尼保生）第1-01898号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＶｉｎＶｉｎＢＡＬ06-6430-127716674228202,00d245ab-a2be-4ba9-a10f-cf3e83fa678f,株式会社ＧＲＡＣＥ　ＴＥＲＲＡ167459,dfec5744-8a17-4072-bc5c-54b3c74f805a,e5759e8d-bde5-4f58-8710-be9aebaf5547,2021/12/01,Ｖｉｎ　Ｖｉｎ　ＢＡＬ　,ＶｉｎＶｉｎＢＡＬ,株式会社ＧＲＡＣＥ　ＴＥＲＲＡ
甘露園  ,兵庫県,尼崎市神田中通５－１９３,尼崎市神田中通５－１９３,,06-6411-3223  ,株式会社茶の道,尼崎市杭瀬本町１－１,尼崎市杭瀬本町１－１,,06-4869-4108  ,R03.12.01,尼崎市指令(尼保生）,第1-01912号,飲食店営業,,305,甘露園  ,06,06-6411-3223,,,,兵庫県　尼崎市神田中通５－１９３,兵庫県尼崎市神田中通５－１９３,,166755,28,28202,神田中通５,2021/12/01,,,,,株式会社茶の道,,06-4869-4108  ,尼崎市杭瀬本町１－１,兵庫県尼崎市杭瀬本町１－１,,166776,兵庫県,尼崎市,杭瀬本町１,尼崎市指令(尼保生）第1-01912号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,甘露園06-6411-322316675528202,f6034cbb-73bc-4150-8d66-b28a3665da3e,株式会社茶の道166776,b753e2dc-1304-4a7f-b677-2528b7149672,3d66ce10-d2d2-4ef2-8e3a-ee777f39972c,2021/12/01,甘露園　,甘露園,株式会社茶の道
福ちゃん寿司  ,兵庫県,尼崎市若王寺１－２－２７,尼崎市若王寺１－２－２７,,06-6491-2720  ,福和商事株式会社,尼崎市若王寺１－２－２７,尼崎市若王寺１－２－２７,,06-6491-2720  ,R03.12.01,尼崎市指令(尼保生）,第1-01913号,飲食店営業,,305,福ちゃん寿司  ,06,06-6491-2720,,,,兵庫県　尼崎市若王寺１－２－２７,兵庫県尼崎市若王寺１－２－２７,,166928,28,28202,若王寺１,2021/12/01,,,,,福和商事株式会社,,06-6491-2720  ,尼崎市若王寺１－２－２７,兵庫県尼崎市若王寺１－２－２７,,166928,兵庫県,尼崎市,若王寺１,尼崎市指令(尼保生）第1-01913号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,福ちゃん寿司06-6491-272016692828202,fa3f73b7-a6c7-44a5-a213-ed58b0981953,福和商事株式会社166928,fc066770-363e-444c-8805-d4a2c8fdca05,72ed2894-0dc0-46f1-99ba-e8cbd98e89d3,2021/12/01,福ちゃん寿司　,福ちゃん寿司,福和商事株式会社
サイゼリヤ　尼崎下坂部店  ,兵庫県,尼崎市下坂部３－２－３０,尼崎市下坂部３－２－３０,,06-6495-3451  ,株式会社サイゼリヤ,吉川市旭２－５,吉川市旭２－５,,048-991-9611  ,R03.12.01,尼崎市指令(尼保生）,第1-01926号,飲食店営業,,305,サイゼリヤ　尼崎下坂部店  ,06,06-6495-3451,,,,兵庫県　尼崎市下坂部３－２－３０,兵庫県尼崎市下坂部３－２－３０,,166814,28,28202,下坂部３,2021/12/01,,,,,株式会社サイゼリヤ,,048-991-9611  ,吉川市旭２－５,埼玉県吉川市旭２－５,,66045,埼玉県,吉川市,旭,尼崎市指令(尼保生）第1-01926号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,サイゼリヤ尼崎下坂部店06-6495-345116681428202,aad11ee7-1589-4e3a-9079-71ffe90aef03,株式会社サイゼリヤ66045,f22076b1-1286-41d1-880b-26fb5eef0990,6bd9cd0d-583d-42d0-881c-9a9a4b7b9dec,2021/12/01,サイゼリヤ　尼崎下坂部店　,サイゼリヤ尼崎下坂部店,株式会社サイゼリヤ
有限会社タカミネ  ,兵庫県,尼崎市潮江４－４－１,尼崎市潮江４－４－１,,06-6420-2302  ,有限会社タカミネ,尼崎市潮江４－４－１,尼崎市潮江４－４－１,,06-6420-2302  ,R03.12.01,尼崎市指令(尼保生）,第1-01923号,魚介類販売業,,305,有限会社タカミネ  ,06,06-6420-2302,,,,兵庫県　尼崎市潮江４－４－１,兵庫県尼崎市潮江４－４－１,,166805,28,28202,潮江４,2021/12/01,,,,,有限会社タカミネ,,06-6420-2302  ,尼崎市潮江４－４－１,兵庫県尼崎市潮江４－４－１,,166805,兵庫県,尼崎市,潮江４,尼崎市指令(尼保生）第1-01923号,,魚介類販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,I,58,,,有限会社タカミネ06-6420-230216680528202,b271e652-de71-431c-b554-2e64c0bdb63b,有限会社タカミネ166805,66bad490-9bc2-46f4-8012-e6f07ef87d27,b2c14cfc-179f-4cb5-a0f8-1e4bf2fff214,2021/12/01,有限会社タカミネ　,有限会社タカミネ,有限会社タカミネ
ホテルヴィスキオ尼崎　（製菓）  ,兵庫県,尼崎市潮江１－４－１,尼崎市潮江１－４－１,,06-6491-0002  ,尼崎ホテル開発株式会社,尼崎市潮江１－４－１,尼崎市潮江１－４－１,,06-6491-8511  ,R03.12.01,尼崎市指令(尼保生）,第1-01925号,菓子製造業,,305,ホテルヴィスキオ尼崎　（製菓）  ,06,06-6491-0002,,,,兵庫県　尼崎市潮江１－４－１,兵庫県尼崎市潮江１－４－１,,166802,28,28202,潮江１,2021/12/01,,,,,尼崎ホテル開発株式会社,,06-6491-8511  ,尼崎市潮江１－４－１,兵庫県尼崎市潮江１－４－１,,166802,兵庫県,尼崎市,潮江１,尼崎市指令(尼保生）第1-01925号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,ホテルヴィスキオ尼崎製菓06-6491-000216680228202,e81876de-6048-4ced-932f-ef6ad6b68e35,尼崎ホテル開発株式会社166802,3a082164-7f05-43a3-ba10-4df3bc2c6c31,a196895f-d3ff-411c-b078-b81ba5466a41,2021/12/01,ホテルヴィスキオ尼崎　（製菓）　,ホテルヴィスキオ尼崎製菓,尼崎ホテル開発株式会社
インド料理　チャルテ　チャルテ  ,兵庫県,尼崎市次屋３－１３－１８イオン尼崎１Ｆ－１０３ａ,尼崎市次屋３－１３－１８,イオン尼崎１Ｆ－１０３ａ,              ,株式会社ＣＧ　Ｊａｐａｎ,神戸市中央区北長狭通１－８－７,神戸市中央区北長狭通１－８－７,,078-391-3666  ,R03.12.01,尼崎市指令(尼保生）,第1-01928号,飲食店営業,,305,インド料理　チャルテ　チャルテ  ,06,,,,,兵庫県　尼崎市次屋３－１３－１８,兵庫県尼崎市次屋３－１３－１８,イオン尼崎１Ｆ－１０３ａ,166890,28,28202,次屋３,2021/12/01,,,,,株式会社ＣＧ　Ｊａｐａｎ,,078-391-3666  ,神戸市中央区北長狭通１－８－７,兵庫県神戸市中央区北長狭通１－８－７,,165250,兵庫県,神戸市中央区,北長狭通１,尼崎市指令(尼保生）第1-01928号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,インド料理チャルテチャルテ16689028202,0eaeb45f-53be-47d5-9af7-28fda8ccd2b1,株式会社ＣＧ　Ｊａｐａｎ165250,636272ca-c738-4d1e-8e40-4b5ef507a35e,ae091b8e-3c72-4ff9-9b7b-c622fe7fdc6f,2021/12/01,インド料理　チャルテ　チャルテ　,インド料理チャルテチャルテ,株式会社ＣＧ　Ｊａｐａｎ
骨付鳥・博多水炊き　大和  ,兵庫県,尼崎市長洲西通１－２－２１,尼崎市長洲西通１－２－２１,,,ＨＭエンタープライズ株式会社,大阪市北区曽根崎２－１３－５,大阪市北区曽根崎２－１３－５,,06-6364-1588  ,R03.12.01,尼崎市指令(尼保生）,第1-01935号,飲食店営業,,305,骨付鳥・博多水炊き　大和  ,06,,,,,兵庫県　尼崎市長洲西通１－２－２１,兵庫県尼崎市長洲西通１－２－２１,,166918,28,28202,長洲西通１,2021/12/01,,,,,ＨＭエンタープライズ株式会社,,06-6364-1588  ,大阪市北区曽根崎２－１３－５,大阪府大阪市北区曽根崎２－１３－５,,155845,大阪府,大阪市北区,曽根崎２,尼崎市指令(尼保生）第1-01935号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,骨付鳥博多水炊き大和16691828202,c3f24517-213f-42d6-a20e-42cabfe889fd,ＨＭエンタープライズ株式会社155845,51d64fba-7029-4902-9ea0-4bc69f6c77a3,c9d27a42-c46a-4601-b2d4-a7f27b47b876,2021/12/01,骨付鳥・博多水炊き　大和　,骨付鳥博多水炊き大和,ＨＭエンタープライズ株式会社
ＫＨ　ＣＯＭＰＡＮＹ  ,兵庫県,尼崎市建家町８９,尼崎市建家町８９,,06-4965-5250  ,株式会社ＫＨカンパニー,大阪市住之江区南港中５－５－３７－８０５,大阪市住之江区南港中５－５－３７,８０５,06-7178-7634  ,R03.12.01,尼崎市指令(尼保生）,第1-01938号,飲食店営業,,305,ＫＨ　ＣＯＭＰＡＮＹ  ,06,06-4965-5250,,,,兵庫県　尼崎市建家町８９,兵庫県尼崎市建家町８９,,166851,28,28202,建家町,2021/12/01,,,,,株式会社ＫＨカンパニー,,06-7178-7634  ,大阪府大阪市住之江区南港中５－５－３７,大阪府大阪市住ノ江区南港中５－５－３７,８０５,155627,大阪府,大阪市住之江区,南港中５,尼崎市指令(尼保生）第1-01938号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＫＨＣＯＭＰＡＮＹ06-4965-525016685128202,c3d6c5e1-a643-4858-b424-9a1df6832247,株式会社ＫＨカンパニー155627,b5200541-0b3b-4d56-aa98-52517dbd8ac1,7347f1ac-033c-4584-8233-db00c6a59607,2021/12/01,ＫＨ　ＣＯＭＰＡＮＹ　,ＫＨＣＯＭＰＡＮＹ,株式会社ＫＨカンパニー
懐い古や　阪急塚口店  ,兵庫県,尼崎市塚口町１－１３－４ハッピーコート塚口駅前ビル２Ｆ,尼崎市塚口町１－１３－４,ハッピーコート塚口駅前ビル２Ｆ,06-6421-7045  ,株式会社ツジムラ,尼崎市塚口町１－１３－４ハッピーコート塚口駅前ビル２Ｆ,尼崎市塚口町１－１３－４,ハッピーコート塚口駅前ビル２Ｆ,06-6421-7045  ,R03.12.01,尼崎市指令(尼保生）,第1-01941号,飲食店営業,,305,懐い古や　阪急塚口店  ,06,06-6421-7045,,,,兵庫県　尼崎市塚口町１－１３－４,兵庫県尼崎市塚口町１－１３－４,ハッピーコート塚口駅前ビル２Ｆ,166862,28,28202,塚口町１,2021/12/01,,,,,株式会社ツジムラ,,06-6421-7045  ,尼崎市塚口町１－１３－４,兵庫県尼崎市塚口町１－１３－４,ハッピーコート塚口駅前ビル２Ｆ,166862,兵庫県,尼崎市,塚口町１,尼崎市指令(尼保生）第1-01941号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,懐い古や阪急塚口店06-6421-704516686228202,b7a10be6-4460-4bc3-8b95-f2485c730640,株式会社ツジムラ166862,97a15b01-e7e7-4939-ac4e-d9066e6d6031,f54a6b18-c9d1-479c-abfb-020974472d08,2021/12/01,懐い古や　阪急塚口店　,懐い古や阪急塚口店,株式会社ツジムラ
パティオ　カフェ  ,兵庫県,尼崎市南塚口町２－１２－７,尼崎市南塚口町２－１２－７,,              ,株式会社ＺＯｎｅ,西宮市甲子園洲鳥町１０－３－２０５,西宮市甲子園洲鳥町１０－３,２０５,0798-46-8678  ,R03.12.01,尼崎市指令(尼保生）,第1-01944号,喫茶店営業,,305,パティオ　カフェ  ,06,,,,,兵庫県　尼崎市南塚口町２－１２－７,兵庫県尼崎市南塚口町２－１２－７,,167025,28,28202,南塚口町２,2021/12/01,,,,,株式会社ＺＯｎｅ,,0798-46-8678  ,西宮市甲子園洲鳥町１０－３,兵庫県西宮市甲子園洲鳥町１０－３,２０５,167489,兵庫県,西宮市,甲子園洲鳥町,尼崎市指令(尼保生）第1-01944号,,喫茶店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,パティオカフェ16702528202,06d1f273-7adf-4424-9249-ebb65abacdf8,株式会社ＺＯｎｅ167489,82b34747-3d0e-4bf0-b9d1-f4d50aec3258,fe785532-9d43-4615-9984-f63c2bf015dd,2021/12/01,パティオ　カフェ　,パティオカフェ,株式会社ＺＯｎｅ
