申請年月日,申請者1,申請者2,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,確認番号,開業年月日,許可年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請・届出年月日,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2022/1/28,上野和弘,,山梨県,韮崎市,龍岡町下條南割,236-33,,,シャルム,山梨県,南アルプス市,百々,1666-15,,055-285-3353,① 飲食店営業,山梨県指令中北福第155号-642,2022/2/14,2022/2/14,2022/2/14,,165,シャルム,055,055-285-3353,,,,山梨県　南アルプス市　百々　1666-15,山梨県南アルプス市百々１６６６－１５,,100411,19,19208,百々,2022/01/28,2022/02/14,2022/02/14,2022/02/14,,,上野和弘 ,,山梨県　韮崎市　龍岡町下條南割　236-33,山梨県韮崎市竜岡町下条南割２３６－３３,,100354,山梨県,韮崎市,竜岡町下条南割,山梨県指令中北福第155号-642,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,シャルム055-285-335310041119208,659b8e2e-d88f-40d3-a28d-8618222078da,100354,c3addebe-7ae2-4be0-9370-0889fd680ae6,b05e724f-b80b-4dad-ba09-9d53bb3fd5bf,2022/02/14,シャルム,シャルム,
2022/1/28,宿沢昇,,山梨県,山梨市,下井尻,３４７－２１,,,やきとり    おしどり,山梨県,甲州市,塩山下於曽,５９１,,,① 飲食店営業,山梨県指令峡東福第5462号,2022/2/3,2022/2/3,2022/2/3,,166,やきとり    おしどり,0553,,,,,山梨県　甲州市　塩山下於曽　５９１,山梨県甲州市塩山下於曽５９１,,100678,19,19213,塩山下於曽,2022/01/28,2022/02/03,2022/02/03,2022/02/03,,,宿沢昇 ,,山梨県　山梨市　下井尻　３４７－２１,山梨県山梨市下井尻３４７－２１,,100218,山梨県,山梨市,下井尻,山梨県指令峡東福第5462号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,やきとりおしどり10067819213,3985755b-3171-4226-8781-add78b638c34,100218,7ee7d794-3842-4519-8c24-9c42239e1658,f9d2f2b3-35fd-495b-aa89-8d074c3b6240,2022/02/03,やきとり　おしどり,やきとりおしどり,
2022/1/25,戸野しげみ,,山梨県,笛吹市,春日居町鎮目,３８９－１６,,,Japanese    modernclub    はんなり,山梨県,笛吹市,石和町川中島,４６５－１,,055-263-3737,① 飲食店営業,山梨県指令峡東福第5341号,2011/10/19,2022/1/31,2022/2/1,,166,Japanese    modernclub    はんなり,055,055-263-3737,,,,山梨県　笛吹市　石和町川中島　４６５－１,山梨県笛吹市石和町川中島４６５－１,,100545,19,19211,石和町川中島,2022/01/25,2011/10/19,2022/01/31,2022/02/01,,,戸野しげみ ,,山梨県　笛吹市　春日居町鎮目　３８９－１６,山梨県笛吹市春日居町鎮目３８９－１６,,100592,山梨県,笛吹市,春日居町鎮目,山梨県指令峡東福第5341号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,Ｊａｐａｎｅｓｅｍｏｄｅｒｎｃｌｕｂはんなり055-263-373710054519211,b36a088a-d562-4787-bc62-5f1f445e259e,100592,daef8563-67ea-4ff5-b958-67adf9c3add0,b5c67206-09f1-486c-b363-8be543a7665a,2022/01/31,Ｊａｐａｎｅｓｅ　ｍｏｄｅｒｎｃｌｕｂ　はんなり,Ｊａｐａｎｅｓｅｍｏｄｅｒｎｃｌｕｂはんなり,
2022/2/3,古山憲正,,山梨県,北杜市,須玉町,比志6117,,,空蝉,山梨県,北杜市,須玉,,,,⑯ コーヒー製造・加工業（飲料の製造を除く。）,,,,,,165,空蝉,0551,,,,,山梨県　北杜市　須玉　,山梨県北杜市須玉町,,100436,19,19209,須玉町,2022/02/03,,,,,,古山憲正 ,,山梨県　北杜市　須玉町　比志6117,山梨県北杜市須玉町比志６１１７,,100447,山梨県,北杜市,須玉町比志,,,コーヒー製造・加工業,（飲料の製造を除く。）,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,10,103,1032,空蝉10043619209,f3fec7ca-584c-4b6d-8e42-7f2b3c224067,100447,96efa817-d497-422c-9eba-ca40c6708629,5434e4ed-7e2a-45a5-b62a-fea3fbaabbc6,2022/02/03,空蝉,空蝉,
2022/2/10,松村秀人,,山梨県,中央市,井之口,1118-1,,,タマ生化学株式会社,山梨県,中央市,一町畑,810,,055-273-3150,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,165,タマ生化学株式会社,055,055-273-3150,,,,山梨県　中央市　一町畑　810,山梨県中央市一町畑８１０,,100710,19,19214,一町畑,2022/02/10,,,,,,松村秀人 ,,山梨県　中央市　井之口　1118-1,山梨県中央市井ノ口１１１８－１,,100711,山梨県,中央市,井ノ口,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,61,612,,タマ生化学株式会社055-273-315010071019214,0054616b-3392-42a6-ac2f-5f5e76231436,100711,8b4d4d8f-03f0-4fe4-9c30-589d646a64cc,e1d39e68-212e-4cf7-82ad-e82fb2415477,2022/02/10,タマ生化学株式会社,タマ生化学株式会社,
2022/2/10,内藤近房,,山梨県,中巨摩郡昭和町,西条,2688-4,,,桜湯源泉掛け流し温泉,山梨県,中巨摩郡昭和町,西条,251,,,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,一致の場合削除Ｍｉｌｋ　Ｃｏｎｔａｃｔ/桜湯源泉掛け流し温泉,165,桜湯源泉掛け流し温泉,055,,,,,山梨県　中巨摩郡昭和町　西条　251,山梨県中巨摩郡昭和町西条２５１,,100912,19,19384,西条,2022/02/10,,,,,,内藤近房 ,,山梨県　中巨摩郡昭和町　西条　2688-4,山梨県中巨摩郡昭和町西条２６８８－４,,100912,山梨県,中巨摩郡昭和町,西条,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,61,612,,桜湯源泉掛け流し温泉10091219384,66668a27-8952-4b14-b644-8eccad19ecf2,100912,2c9d8d7a-6bef-43b8-b9a4-c9be75c4b25e,427b9f23-953b-4722-9337-5447e2014a88,2022/02/10,桜湯源泉掛け流し温泉,桜湯源泉掛け流し温泉,
2022/2/4,小林裕一,,山梨県,北杜市,明野町浅尾,5259,,,さくら茶屋    ラ・パッション,山梨県,韮崎市,藤井町南下條,171-1,,0551-23-0030,① 飲食店営業,山梨県指令中北福第155号-652,2022/2/22,2022/2/22,2022/2/22,,165,さくら茶屋    ラ・パッション,0551,0551-23-0030,,,,山梨県　韮崎市　藤井町南下條　171-1,山梨県韮崎市藤井町南下条１７１－１,,100325,19,19207,藤井町南下条,2022/02/04,2022/02/22,2022/02/22,2022/02/22,,,小林裕一 ,,山梨県　北杜市　明野町浅尾　5259,山梨県北杜市明野町浅尾５２５９,,100427,山梨県,北杜市,明野町浅尾,山梨県指令中北福第155号-652,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,さくら茶屋ラパッション0551-23-003010032519207,01d43c0a-76f8-42b7-8ed5-d9f3b9cfa078,100427,a08abc73-4fd6-4f5e-b311-47bc635974a8,59c88aeb-5ce3-455d-b1ad-2fffbcc99b6e,2022/02/22,さくら茶屋　ラ・パッション,さくら茶屋ラパッション,
2022/2/4,小林裕一,,山梨県,北杜市,明野町浅尾,5259,,,さくら茶屋    ラ・パッション,山梨県,韮崎市,藤井町南下條,171-1,,0551-23-0030,⑪ 菓子製造業,山梨県指令中北福第155号-652,2022/2/22,2022/2/22,2022/2/22,,165,さくら茶屋    ラ・パッション,0551,0551-23-0030,,,,山梨県　韮崎市　藤井町南下條　171-1,山梨県韮崎市藤井町南下条１７１－１,,100325,19,19207,藤井町南下条,2022/02/04,2022/02/22,2022/02/22,2022/02/22,,,小林裕一 ,,山梨県　北杜市　明野町浅尾　5259,山梨県北杜市明野町浅尾５２５９,,100427,山梨県,北杜市,明野町浅尾,山梨県指令中北福第155号-652,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,さくら茶屋ラパッション0551-23-003010032519207,01d43c0a-76f8-42b7-8ed5-d9f3b9cfa078,100427,a08abc73-4fd6-4f5e-b311-47bc635974a8,218f8da1-f90b-4fdd-a8fd-02f04b77c574,2022/02/22,さくら茶屋　ラ・パッション,さくら茶屋ラパッション,
2022/2/7,篠﨑美樹,,山梨県,南都留郡忍野村,忍草,3338-2,,,樹樹,山梨県,富士吉田市,緑ケ丘,2-5-3,,,① 飲食店営業,山梨県指令富東福第9748号,2022/2/8,2022/2/8,2022/2/8,,168,樹樹,0555,,,,,山梨県　富士吉田市　緑ケ丘　2-5-3,山梨県富士吉田市緑が丘２－５－３,,100095,19,19202,緑が丘２,2022/02/07,2022/02/08,2022/02/08,2022/02/08,,,篠﨑美樹 ,,山梨県　南都留郡忍野村　忍草　3338-2,山梨県南都留郡忍野村忍草３３３８－２,,100920,山梨県,南都留郡忍野村,忍草,山梨県指令富東福第9748号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,樹樹10009519202,1d69b97b-6f49-4940-84e1-14a39db3c029,100920,8d8d3b17-76f5-430c-b121-20fbadc7046e,b7d9a72c-9c7c-46b3-b31e-7818889a4a0a,2022/02/08,樹樹,樹樹,
2022/2/8,海川秀人,,山梨県,甲斐市,大下条,216-5 ,シャトレーリヴ 202,,ライフデリ中央店,山梨県,中巨摩郡昭和町,河西,622-6,流通銀座西館１階７号室,,① 飲食店営業,山梨県指令中北福第155号-656,2022/2/22,2022/2/22,2022/2/22,,165,ライフデリ中央店,055,,,,,山梨県　中巨摩郡昭和町　河西　622-6,山梨県中巨摩郡昭和町河西６２２－６,流通銀座西館１階７号室,100908,19,19384,河西,2022/02/08,2022/02/22,2022/02/22,2022/02/22,,,海川秀人 ,,山梨県　甲斐市　大下条　216-5 ,山梨県甲斐市大下条２１６－５,シャトレーリヴ 202,100508,山梨県,甲斐市,大下条,山梨県指令中北福第155号-656,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,ライフデリ中央店10090819384,8639a315-db7e-40f3-9df7-576388f5c1c6,100508,3ea3e23b-1054-447c-aef4-372aa8cb3e76,fb4e1741-775d-4813-954a-362fa19b8790,2022/02/22,ライフデリ中央店,ライフデリ中央店,
2022/2/8,安田晃,,神奈川県,藤沢市,鵠沼海岸,2007-3-25,プリマベーラ101,,出張カキ小屋牡蠣奉行,山梨県,中央市,下河東,3053-1,イオンタウン山梨中央駐車場,,① 飲食店営業,山梨県指令中北福第155号-657,2022/2/10,2022/2/10,2022/2/10,,165,出張カキ小屋牡蠣奉行,055,,,,,山梨県　中央市　下河東　3053-1,山梨県中央市下河東３０５３－１,イオンタウン山梨中央駐車場,100721,19,19214,下河東,2022/02/08,2022/02/10,2022/02/10,2022/02/10,,,安田晃 ,,神奈川県　藤沢市　鵠沼海岸　Sun Mar 25 2007 00:00:00 GMT+0900 (JST),神奈川県藤沢市鵠沼海岸SunMar２５２００７００:００:００GMT+０９００(JST),プリマベーラ101,81663,神奈川県,藤沢市,鵠沼,山梨県指令中北福第155号-657,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,出張カキ小屋牡蠣奉行10072119214,37f3e8dd-d2dc-47ba-bc3c-8b46fe409968,81663,3a164f8f-eb50-49d1-bbe9-e5dd4e1340d4,79fdf392-fdbf-4f25-bbf7-75327d0bbbda,2022/02/10,出張カキ小屋牡蠣奉行,出張カキ小屋牡蠣奉行,
2022/2/9,沼中順子,,山梨県,笛吹市,一宮町塩田,590-1-3-203,,,MOMO日和,山梨県,笛吹市,一宮町塩田,590-1-3-203,,,⑰ 農産保存食料品製造・加工業,,,,,,166,MOMO日和,0553,,,,,山梨県　笛吹市　一宮町塩田　590-1,山梨県笛吹市一宮町塩田５９０－１,３－２０３,100572,19,19211,一宮町塩田,2022/02/09,,,,,,沼中順子 ,,山梨県　笛吹市　一宮町塩田　590-1-3-203,山梨県笛吹市一宮町塩田５９０－１－３－２０３,,100572,山梨県,笛吹市,一宮町塩田,,,農産保存食料品製造・加工業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,93,,ＭＯＭＯ日和10057219211,8f20a59d-f6b4-496c-93c8-4ab52409f2ac,100572,40ce7bac-121a-46bc-a56f-16b0359c44de,9910ad6b-a278-49a0-930f-81ec1bb09dab,2022/02/09,ＭＯＭＯ日和,ＭＯＭＯ日和,
2022/2/9,窪田利枝,,山梨県,笛吹市,八代町南,3803-5,,,窪田    利枝,山梨県,笛吹市,八代町南,3803-5,,,⑦ 野菜果物販売業,,,,,,166,窪田    利枝,055,,,,,山梨県　笛吹市　八代町南　3803-5,山梨県笛吹市八代町南３８０３－５,,100632,19,19211,八代町南,2022/02/09,,,,,,窪田利枝 ,,山梨県　笛吹市　八代町南　3803-5,山梨県笛吹市八代町南３８０３－５,,100632,山梨県,笛吹市,八代町南,,,野菜果物販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,582,,窪田利枝10063219211,d7b4b987-0071-42fb-bdc9-c19ffd267b27,100632,73b9ebc3-b346-473e-9a93-c26fd6bacab3,546b2498-f198-4ff8-b640-627f25bb40f6,2022/02/09,窪田　利枝,窪田利枝,
2022/1/26,深澤直登,,山梨県,富士吉田市,ときわ台,1-6-11,,,べんけい加工所,山梨県,富士吉田市,ときわ台,1-6-11,,0555-22-2358,㉕ そうざい製造業,山梨県指令富東福第9867号,2022/2/14,2022/2/14,2022/2/14,,168,べんけい加工所,0555,0555-22-2358,,,,山梨県　富士吉田市　ときわ台　1-6-11,山梨県富士吉田市ときわ台１－６－１１,,100096,19,19202,ときわ台１,2022/01/26,2022/02/14,2022/02/14,2022/02/14,,,深澤直登 ,,山梨県　富士吉田市　ときわ台　1-6-11,山梨県富士吉田市ときわ台１－６－１１,,100096,山梨県,富士吉田市,ときわ台１,山梨県指令富東福第9867号,,そうざい製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,べんけい加工所0555-22-235810009619202,f0f8bcff-303e-4efd-aad6-05247ff8aa65,100096,2caa7720-3d35-429a-b7c0-8a80f052a99e,10b09c6d-c775-42c8-a85f-0046103c6167,2022/02/14,べんけい加工所,べんけい加工所,
2022/2/9,本田佑輔,,山梨県,北杜市,須玉町若神子,2650-1,須玉第8ハイツ102,,モンタラ,山梨県,北杜市,高根町上黒澤,字東久保 1547番-7,,,① 飲食店営業,山梨県指令中北福第155号-661,2022/2/24,2022/2/24,2022/2/24,,165,モンタラ,0551,,,,,山梨県　北杜市　高根町上黒澤　字東久保 1547番-7,山梨県北杜市高根町上黒沢字東久保１５４７番－７,,100452,19,19209,高根町上黒沢,2022/02/09,2022/02/24,2022/02/24,2022/02/24,,,本田佑輔 ,,山梨県　北杜市　須玉町若神子　Tue Jan 01 2650 00:00:00 GMT+0900 (JST),山梨県北杜市須玉町若神子TueJan０１２６５０００:００:００GMT+０９００(JST),須玉第8ハイツ102,100449,山梨県,北杜市,須玉町若神子,山梨県指令中北福第155号-661,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,モンタラ10045219209,0420de61-632a-41aa-bd54-957e953d5794,100449,93c23d69-caf3-4fe7-8ddf-95f1423deee1,2b644049-7313-4f4f-b14e-23f931417305,2022/02/24,モンタラ,モンタラ,
2022/2/14,田中健,,山梨県,南アルプス市,江原,1278,,,巨摩高校,山梨県,南アルプス市,小笠原,1500-2,,055-282-1163,③ 乳類販売業,,,,,,165,巨摩高校,055,055-282-1163,,,,山梨県　南アルプス市　小笠原　1500-2,山梨県南アルプス市小笠原１５００－２,,100376,19,19208,小笠原,2022/02/14,,,,,,田中健 ,,山梨県　南アルプス市　江原　1278,山梨県南アルプス市江原１２７８,,100374,山梨県,南アルプス市,江原,,,乳類販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,,,巨摩高校055-282-116310037619208,38f001c2-459f-487e-ab84-1465ae64172c,100374,17702e96-10cc-4d54-8778-f4f39f2279f0,77c82f7e-9306-4f80-89b0-085ec2f1b3e7,2022/02/14,巨摩高校,巨摩高校,
2022/2/8,門倉絵理子,,山梨県,南都留郡富士河口湖町,河口,894-2,,,百花テラス,山梨県,南都留郡富士河口湖町,船津,3681-2,相和B館1F,,① 飲食店営業,山梨県指令富東福第9898号,2022/2/15,2022/2/15,2022/2/15,,168,百花テラス,0555,,,,,山梨県　南都留郡富士河口湖町　船津　3681-2,山梨県南都留郡富士河口湖町船津３６８１－２,相和B館1F,100935,19,19430,船津,2022/02/08,2022/02/15,2022/02/15,2022/02/15,,,門倉絵理子 ,,山梨県　南都留郡富士河口湖町　河口　894-2,山梨県南都留郡富士河口湖町河口８９４－２,,100933,山梨県,南都留郡富士河口湖町,河口,山梨県指令富東福第9898号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,百花テラス10093519430,f224e4f1-009c-49e7-8734-44ff44da6e8a,100933,9ae75965-c505-4f61-9eaf-7d9a1acbc383,80faf138-f832-4ba4-9d7b-c2fe5ba407e5,2022/02/15,百花テラス,百花テラス,
2022/2/8,門倉絵理子,,山梨県,南都留郡富士河口湖町,河口,894-2,,,百花テラス,山梨県,南都留郡富士河口湖町,船津,3681-2,相和B館1F,,⑪ 菓子製造業,山梨県指令富東福第9898号,2022/2/15,2022/2/15,2022/2/15,,168,百花テラス,0555,,,,,山梨県　南都留郡富士河口湖町　船津　3681-2,山梨県南都留郡富士河口湖町船津３６８１－２,相和B館1F,100935,19,19430,船津,2022/02/08,2022/02/15,2022/02/15,2022/02/15,,,門倉絵理子 ,,山梨県　南都留郡富士河口湖町　河口　894-2,山梨県南都留郡富士河口湖町河口８９４－２,,100933,山梨県,南都留郡富士河口湖町,河口,山梨県指令富東福第9898号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,百花テラス10093519430,f224e4f1-009c-49e7-8734-44ff44da6e8a,100933,9ae75965-c505-4f61-9eaf-7d9a1acbc383,05f391fc-b4a8-4e38-ae25-2784134f46f2,2022/02/15,百花テラス,百花テラス,
2022/2/8,門倉絵理子,,山梨県,南都留郡富士河口湖町,河口,894-2,,,百花テラス,山梨県,南都留郡富士河口湖町,船津,3681-2,相和B館1F,,㉙ 漬物製造業,山梨県指令富東福第9898号,2022/2/15,2022/2/15,2022/2/15,,168,百花テラス,0555,,,,,山梨県　南都留郡富士河口湖町　船津　3681-2,山梨県南都留郡富士河口湖町船津３６８１－２,相和B館1F,100935,19,19430,船津,2022/02/08,2022/02/15,2022/02/15,2022/02/15,,,門倉絵理子 ,,山梨県　南都留郡富士河口湖町　河口　894-2,山梨県南都留郡富士河口湖町河口８９４－２,,100933,山梨県,南都留郡富士河口湖町,河口,山梨県指令富東福第9898号,,漬物製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,百花テラス10093519430,f224e4f1-009c-49e7-8734-44ff44da6e8a,100933,9ae75965-c505-4f61-9eaf-7d9a1acbc383,c3c69d8e-a5ed-4520-8f84-a6eb826bdf3a,2022/02/15,百花テラス,百花テラス,
2022/2/11,下司鷹志,,山梨県,北杜市,小淵沢町上笹尾３３３８－３,,,,日野春ハーブガーデン,山梨県,北杜市,北杜市,2910,,,⑬ その他の食料・飲料販売業,,,,,,165,日野春ハーブガーデン,0551,,,,,山梨県　北杜市　北杜市　2910,山梨県北杜市長坂町日野２９１０,,100479,19,19209,長坂町日野,2022/02/11,,,,,,下司鷹志 ,,山梨県　北杜市　小淵沢町上笹尾３３３８－３　,山梨県北杜市小淵沢町上笹尾３３３８－３,,100497,山梨県,北杜市,小淵沢町上笹尾,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,581,5811,日野春ハブガデン10047919209,c3d40393-68e9-4d84-aabe-bb3489a5a3fe,100497,8b22bb47-31c2-4a96-970d-e60973f35f16,5232b3a8-432b-4b15-97ca-2143f64a6265,2022/02/11,日野春ハーブガーデン,日野春ハブガデン,
2022/2/2,桜井彰一,,山梨県,北杜市,須玉町大蔵,709-1,,,櫻井呉服店,山梨県,北杜市,須玉町大蔵,709-1,,0551-42-2430,⑬ その他の食料・飲料販売業,,,,,,165,櫻井呉服店,0551,0551-42-2430,,,,山梨県　北杜市　須玉町大蔵　709-1,山梨県北杜市須玉町大蔵７０９－１,,100439,19,19209,須玉町大蔵,2022/02/02,,,,,,桜井彰一 ,,山梨県　北杜市　須玉町大蔵　709-1,山梨県北杜市須玉町大蔵７０９－１,,100439,山梨県,北杜市,須玉町大蔵,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,581,5811,櫻井呉服店0551-42-243010043919209,f0d2c2de-2814-49ca-9f62-e5cbdafabeb2,100439,6d2b0d36-19b1-4ba7-a1ee-b2ab00e63b1b,bb312116-529d-4636-af14-1a4cd33d49bc,2022/02/02,櫻井呉服店,櫻井呉服店,
2022/1/31,渡邉修,,山梨県,南都留郡富士河口湖町,船津,1508-17,,,フルーツサンドRYO,山梨県,南都留郡富士河口湖町,船津,1848-1,,0555-72-2282,⑪ 菓子製造業,山梨県指令富東福第9960号,2022/2/15,2022/2/15,2022/2/15,,168,フルーツサンドRYO,0555,0555-72-2282,,,,山梨県　南都留郡富士河口湖町　船津　1848-1,山梨県南都留郡富士河口湖町船津１８４８－１,,100935,19,19430,船津,2022/01/31,2022/02/15,2022/02/15,2022/02/15,,,渡邉修 ,,山梨県　南都留郡富士河口湖町　船津　1508-17,山梨県南都留郡富士河口湖町船津１５０８－１７,,100935,山梨県,南都留郡富士河口湖町,船津,山梨県指令富東福第9960号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,フルツサンドＲＹＯ0555-72-228210093519430,0bf484e5-4a03-4d4a-abe3-4edbbc0d419d,100935,7573ad25-0888-49cc-9935-5d72fba56b59,08c005ba-5faf-4c65-abf5-ba2230e22cc1,2022/02/15,フルーツサンドＲＹＯ,フルツサンドＲＹＯ,
2022/2/4,日向純子,,山梨県,大月市,富浜町鳥沢,3373-1,,,bakery  bocco,山梨県,大月市,富浜町鳥沢,3373-1,,0554-68-3088,① 飲食店営業,山梨県指令富東福第9976号,2022/2/16,2022/2/16,2022/2/16,,168,bakery  bocco,0554,0554-68-3088,,,,山梨県　大月市　富浜町鳥沢　3373-1,山梨県大月市富浜町鳥沢３３７３－１,,100273,19,19206,富浜町鳥沢,2022/02/04,2022/02/16,2022/02/16,2022/02/16,,,日向純子 ,,山梨県　大月市　富浜町鳥沢　3373-1,山梨県大月市富浜町鳥沢３３７３－１,,100273,山梨県,大月市,富浜町鳥沢,山梨県指令富東福第9976号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,ｂａｋｅｒｙｂｏｃｃｏ0554-68-308810027319206,2e003b5d-c8fb-456f-9bf3-f99250bbdd8e,100273,645a5661-7c6b-4c9c-87ad-b70eda9c4f5a,d29c232f-4e75-43ca-a54d-bfa26f3fa980,2022/02/16,ｂａｋｅｒｙ　ｂｏｃｃｏ,ｂａｋｅｒｙｂｏｃｃｏ,
2022/2/4,日向純子,,山梨県,大月市,富浜町鳥沢,3373-1,,,bakery  bocco,山梨県,大月市,富浜町鳥沢,3373-1,,0554-68-3088,⑪ 菓子製造業,山梨県指令富東福第9976号,2022/2/16,2022/2/16,2022/2/16,,168,bakery  bocco,0554,0554-68-3088,,,,山梨県　大月市　富浜町鳥沢　3373-1,山梨県大月市富浜町鳥沢３３７３－１,,100273,19,19206,富浜町鳥沢,2022/02/04,2022/02/16,2022/02/16,2022/02/16,,,日向純子 ,,山梨県　大月市　富浜町鳥沢　3373-1,山梨県大月市富浜町鳥沢３３７３－１,,100273,山梨県,大月市,富浜町鳥沢,山梨県指令富東福第9976号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,ｂａｋｅｒｙｂｏｃｃｏ0554-68-308810027319206,2e003b5d-c8fb-456f-9bf3-f99250bbdd8e,100273,645a5661-7c6b-4c9c-87ad-b70eda9c4f5a,99d87cc2-2e77-45ce-8958-0b3fbfebe10a,2022/02/16,ｂａｋｅｒｙ　ｂｏｃｃｏ,ｂａｋｅｒｙｂｏｃｃｏ,
2022/2/9,株式会社渡辺青果,渡辺貴志,山梨県,南都留郡忍野村,忍草,1074-6,,,株式会社渡辺青果,山梨県,富士吉田市,旭,1-10-5,アーバンヒルズ101号室,,⑪ 菓子製造業,山梨県指令富東福第9977号,2022/2/17,2022/2/17,2022/2/17,,168,株式会社渡辺青果,0555,,,,,山梨県　富士吉田市　旭　1-10-5,山梨県富士吉田市旭１－１０－５,アーバンヒルズ101号室,100103,19,19202,旭１,2022/02/09,2022/02/17,2022/02/17,2022/02/17,,株式会社渡辺青果,渡辺貴志,,山梨県　南都留郡忍野村　忍草　1074-6,山梨県南都留郡忍野村忍草１０７４－６,,100920,山梨県,南都留郡忍野村,忍草,山梨県指令富東福第9977号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,株式会社渡辺青果10010319202,b59889a4-de24-4fe0-aa64-a45be3d9a07f,株式会社渡辺青果100920,ce12fc4a-ded9-4751-b65e-b68bdb33a2e2,4699d83f-41e7-44b4-b4cf-1c6a51d45dc3,2022/02/17,株式会社渡辺青果,株式会社渡辺青果,株式会社渡辺青果
