https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所方書,営業所ＴＥＬ１,業種印刷名称,営業者名,営業者ＴＥＬ１情報公開用,初回許可日,許可決定日,申請区分,許可番号印刷用,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
全国鶏行脚「ぱたぱた家」東京田町店,港区,芝五丁目３４番６号,新田町ビル１階,03-5730-3001,飲食店営業,株式会社焼肉坂井ホールディングス,052-910-1729,2021年12月14日,2021年12月14日,新規,3港み生食営第2747号,,182,全国鶏行脚「ぱたぱた家」東京田町店,03,03-5730-3001,,,,港区　芝五丁目３４番６号,東京都港区芝５丁目３４番６号,新田町ビル１階,73081,13,13103,芝５,,2021/12/14,2021/12/14,,,株式会社焼肉坂井ホールディングス,,052-910-1729,,,,,,,,3港み生食営第2747号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,全国鶏行脚ぱたぱた家東京田町店03-5730-30017308113103,56e10a29-7f71-44e6-a37c-5cb6856e2ce4,株式会社焼肉坂井ホールディングス,970a488d-e277-4a73-b22b-773763c0ae66,7ac6632c-e1d4-45ab-8328-7bb8944aa00c,2021/12/14,全国鶏行脚「ぱたぱた家」東京田町店,全国鶏行脚ぱたぱた家東京田町店,株式会社焼肉坂井ホールディングス
ローソンみなとパーク芝浦店,港区,芝浦一丁目１６番１号,芝浦港南地区総合支所１階,03-3453-3710,飲食店営業,有限会社マウントライフ,03-3428-2099,2021年12月22日,2021年12月22日,新規,3港み生食営第2943号,,182,ローソンみなとパーク芝浦店,03,03-3453-3710,,,,港区　芝浦一丁目１６番１号,東京都港区芝浦１丁目１６番１号,芝浦港南地区総合支所１階,73082,13,13103,芝浦１,,2021/12/22,2021/12/22,,,有限会社マウントライフ,,03-3428-2099,,,,,,,,3港み生食営第2943号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ロソンみなとパク芝浦店03-3453-37107308213103,a65742dc-a917-4cf7-99e2-dda3be858579,有限会社マウントライフ,a9c4f46f-725a-4608-ba3d-de959e0631ab,23df46b9-51dc-4be4-9403-aa5cd6936228,2021/12/22,ローソンみなとパーク芝浦店,ロソンみなとパク芝浦店,有限会社マウントライフ
カフェ　フルール,港区,芝浦一丁目１６番１号,みなとパーク芝浦１階,03-5232-4514,飲食店営業,社会福祉法人家庭授産奨励会,03-3408-1545,2021年12月17日,2021年12月17日,新規,3港み生食営第2850号,,182,カフェ　フルール,03,03-5232-4514,,,,港区　芝浦一丁目１６番１号,東京都港区芝浦１丁目１６番１号,みなとパーク芝浦１階,73082,13,13103,芝浦１,,2021/12/17,2021/12/17,,,社会福祉法人家庭授産奨励会,,03-3408-1545,,,,,,,,3港み生食営第2850号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,カフェフルル03-5232-45147308213103,c226ebad-8c0b-4490-9f92-19e3a54df13f,社会福祉法人家庭授産奨励会,1ad3900c-d686-4189-970b-6a5197e4b32d,cab67b07-c83b-44bc-8610-0ba69e79624f,2021/12/17,カフェ　フルール,カフェフルル,社会福祉法人家庭授産奨励会
カフェ　フルール,港区,芝浦一丁目１６番１号,みなとパーク芝浦１階,03-5232-4514,菓子製造業,社会福祉法人家庭授産奨励会,03-3408-1545,2021年12月17日,2021年12月17日,新規,3港み生食営第2851号,,182,カフェ　フルール,03,03-5232-4514,,,,港区　芝浦一丁目１６番１号,東京都港区芝浦１丁目１６番１号,みなとパーク芝浦１階,73082,13,13103,芝浦１,,2021/12/17,2021/12/17,,,社会福祉法人家庭授産奨励会,,03-3408-1545,,,,,,,,3港み生食営第2851号,新規,菓子製造業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,E,9,,,カフェフルル03-5232-45147308213103,c226ebad-8c0b-4490-9f92-19e3a54df13f,社会福祉法人家庭授産奨励会,1ad3900c-d686-4189-970b-6a5197e4b32d,a612a750-021f-41a1-a063-4421a46221f8,2021/12/17,カフェ　フルール,カフェフルル,社会福祉法人家庭授産奨励会
ブランズタワー芝浦　カフェ,港区,芝浦二丁目９番１号,ブランズタワー芝浦２９階,,飲食店営業,株式会社ウィンズ,0463-79-9649,2021年12月17日,2021年12月17日,新規,3港み生食営第2836号,,182,ブランズタワー芝浦　カフェ,03,,,,,港区　芝浦二丁目９番１号,東京都港区芝浦２丁目９番１号,ブランズタワー芝浦２９階,73083,13,13103,芝浦２,,2021/12/17,2021/12/17,,,株式会社ウィンズ,,0463-79-9649,,,,,,,,3港み生食営第2836号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ブランズタワ芝浦カフェ7308313103,8a070afa-fc4a-4a52-a5be-9845bbcdd133,株式会社ウィンズ,cc0e7d32-fc3e-4058-8e32-7ea79d2266d2,6609a928-4e93-49ad-9e84-8a591f01edb9,2021/12/17,ブランズタワー芝浦　カフェ,ブランズタワ芝浦カフェ,株式会社ウィンズ
和牛炭火焼肉びやんど,港区,芝浦三丁目１４番２号,藤田ビル１階、２階,03-3456-2022,飲食店営業,株式会社Ｙｅｉｓａｉ,03-3456-2022,2021年12月23日,2021年12月23日,新規,3港み生食営第2884号,,182,和牛炭火焼肉びやんど,03,03-3456-2022,,,,港区　芝浦三丁目１４番２号,東京都港区芝浦３丁目１４番２号,藤田ビル１階、２階,73084,13,13103,芝浦３,,2021/12/23,2021/12/23,,,株式会社Ｙｅｉｓａｉ,,03-3456-2022,,,,,,,,3港み生食営第2884号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,和牛炭火焼肉びやんど03-3456-20227308413103,1b1b40dc-5a47-4825-bc2f-a112aa9f4c65,株式会社Ｙｅｉｓａｉ,da0b9756-9ae9-4451-8548-7de0e1f5f599,16c58ae0-26af-422c-a9b5-f556a2730398,2021/12/23,和牛炭火焼肉びやんど,和牛炭火焼肉びやんど,株式会社Ｙｅｉｓａｉ
中国酒家　貘,港区,芝公園一丁目７番７号,山口ビル１階,03-3431-8988,飲食店営業,株式会社エイチ・アール・ディー,03-3416-5291,2021年12月14日,2021年12月14日,新規,3港み生食営第2685号,,182,中国酒家　貘,03,03-3431-8988,,,,港区　芝公園一丁目７番７号,東京都港区芝公園１丁目７番７号,山口ビル１階,73086,13,13103,芝公園１,,2021/12/14,2021/12/14,,,株式会社エイチ・アール・ディー,,03-3416-5291,,,,,,,,3港み生食営第2685号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,中国酒家貘03-3431-89887308613103,edab0be3-596f-4711-a6c3-fc09fb5d8b8e,株式会社エイチ・アール・ディー,8be87024-144c-4ff0-84e7-f13caf554a3b,d60c61dd-b42c-4b8e-9571-14ded514ba90,2021/12/14,中国酒家　貘,中国酒家貘,株式会社エイチ・アール・ディー
株式会社内藤製餡所,港区,芝公園二丁目１２番１２号,,03-3431-4580,菓子製造業,株式会社内藤製餡所,03-3431-4580,2021年12月3日,2021年12月3日,新規,3港み生食営第2734号,,182,株式会社内藤製餡所,03,03-3431-4580,,,,港区　芝公園二丁目１２番１２号,東京都港区芝公園２丁目１２番１２号,,73087,13,13103,芝公園２,,2021/12/03,2021/12/03,,,株式会社内藤製餡所,,03-3431-4580,,,,,,,,3港み生食営第2734号,新規,菓子製造業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,E,9,,,株式会社内藤製餡所03-3431-45807308713103,abbd9a5c-0c06-477e-8174-9c9d247886d6,株式会社内藤製餡所,d1dc53aa-9ffa-4d2e-8751-b3ccd40803c0,fc7e03c5-ffc5-470d-babb-50301fbd8f17,2021/12/03,株式会社内藤製餡所,株式会社内藤製餡所,株式会社内藤製餡所
日本宝石特許鑑定協会,港区,芝公園四丁目２番８号,,03-3270-1767,飲食店営業,有限会社日本宝石特許鑑定協会,03-3270-1767,2021年12月28日,2021年12月28日,新規,3港み生食営第2953号,,182,日本宝石特許鑑定協会,03,03-3270-1767,,,,港区　芝公園四丁目２番８号,東京都港区芝公園４丁目２番８号,,73089,13,13103,芝公園４,,2021/12/28,2021/12/28,,,有限会社日本宝石特許鑑定協会,,03-3270-1767,,,,,,,,3港み生食営第2953号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,日本宝石特許鑑定協会03-3270-17677308913103,0e8346e0-5181-463e-a90a-d98b1e8e25bb,有限会社日本宝石特許鑑定協会,b24e3021-a34b-4271-94d0-26e584548d48,35d2484a-4083-49e6-8427-1f738580259b,2021/12/28,日本宝石特許鑑定協会,日本宝石特許鑑定協会,有限会社日本宝石特許鑑定協会
Ｃａｆｅ　ＣＹＡＮ／思案茶房,港区,白金一丁目１２番２号,ＪＣ　Ｒｅｓｉｄｅｎｃｅ１階,03-5422-9693,飲食店営業,株式会社ジェイシーレゾナンス,03-5422-9446,2021年12月14日,2021年12月14日,新規,3港み生食営第2795号,,182,Ｃａｆｅ　ＣＹＡＮ／思案茶房,03,03-5422-9693,,,,港区　白金一丁目１２番２号,東京都港区白金１丁目１２番２号,ＪＣ　Ｒｅｓｉｄｅｎｃｅ１階,73092,13,13103,白金１,,2021/12/14,2021/12/14,,,株式会社ジェイシーレゾナンス,,03-5422-9446,,,,,,,,3港み生食営第2795号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＣａｆｅＣＹＡＮ思案茶房03-5422-96937309213103,3f1f915a-a974-4986-aef4-e523b9053001,株式会社ジェイシーレゾナンス,8f80b682-30dd-462f-9ef2-c3f4a3fbf5df,6a81e6ba-20f9-4a6f-b5d3-20a3a5e0018f,2021/12/14,Ｃａｆｅ　ＣＹＡＮ／思案茶房,ＣａｆｅＣＹＡＮ思案茶房,株式会社ジェイシーレゾナンス
有限会社鳥平,港区,白金五丁目１４番７号,１階,03-3449-7421,飲食店営業,有限会社鳥平,03-3449-7421,2021年12月22日,2021年12月22日,新規,3港み生食営第2824号,,182,有限会社鳥平,03,03-3449-7421,,,,港区　白金五丁目１４番７号,東京都港区白金５丁目１４番７号,１階,73096,13,13103,白金５,,2021/12/22,2021/12/22,,,有限会社鳥平,,03-3449-7421,,,,,,,,3港み生食営第2824号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,有限会社鳥平03-3449-74217309613103,57042bf2-e150-4467-9618-f8a34aef2cb2,有限会社鳥平,6517e693-67fa-4db7-b3b2-2a9ca23f3b37,1b1f1adb-dc0b-43b5-a71e-c43a48ca3655,2021/12/22,有限会社鳥平,有限会社鳥平,有限会社鳥平
八芳園セントラル＆ケータリングキッチン,港区,白金台一丁目１番６号,,03-3443-3121,食肉製品製造業,株式会社八芳園,03-3443-3121,2021年12月8日,2021年12月8日,新規,3港み生食営第2669号,,182,八芳園セントラル＆ケータリングキッチン,03,03-3443-3121,,,,港区　白金台一丁目１番６号,東京都港区白金台１丁目１番６号,,73098,13,13103,白金台１,,2021/12/08,2021/12/08,,,株式会社八芳園,,03-3443-3121,,,,,,,,3港み生食営第2669号,新規,食肉製品製造業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,E,9,,,八芳園セントラルケタリングキッチン03-3443-31217309813103,c3d809a8-ffde-4617-840e-3729066e1e6b,株式会社八芳園,2ee8555f-c0fd-4477-aecf-28ea4887287a,f23398f9-da94-431d-8531-103784fdec34,2021/12/08,八芳園セントラル＆ケータリングキッチン,八芳園セントラルケタリングキッチン,株式会社八芳園
都ホテル東京　地下一階社員食堂,港区,白金台一丁目１番５０号,地下１階,03-3447-4366,飲食店営業,ヒマワリフード株式会社,03-3822-0407,2021年12月24日,2021年12月24日,新規,3港み生食営第2921号,,182,都ホテル東京　地下一階社員食堂,03,03-3447-4366,,,,港区　白金台一丁目１番５０号,東京都港区白金台１丁目１番５０号,地下１階,73098,13,13103,白金台１,,2021/12/24,2021/12/24,,,ヒマワリフード株式会社,,03-3822-0407,,,,,,,,3港み生食営第2921号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,都ホテル東京地下一階社員食堂03-3447-43667309813103,c8880192-a930-40aa-89e2-b996073d0361,ヒマワリフード株式会社,0c10f5a3-db7b-4ff1-b2d5-eace67c6da90,0f6da194-0e2e-4fcb-bd88-46457065ee3b,2021/12/24,都ホテル東京　地下一階社員食堂,都ホテル東京地下一階社員食堂,ヒマワリフード株式会社
銀晴れ‐ぎんぱれ‐,港区,新橋一丁目５番５号,グランベル銀座ビルⅡ　１１階,03-6263-9898,飲食店営業,有限会社ファーイーストコーポレーション,,2021年12月14日,2021年12月14日,新規,3港み生食営第2785号,,182,銀晴れ‐ぎんぱれ‐,03,03-6263-9898,,,,港区　新橋一丁目５番５号,東京都港区新橋１丁目５番５号,グランベル銀座ビルⅡ　１１階,73103,13,13103,新橋１,,2021/12/14,2021/12/14,,,有限会社ファーイーストコーポレーション,,,,,,,,,,3港み生食営第2785号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,銀晴れぎんぱれ03-6263-98987310313103,6eb8eda8-3f92-4e33-b98c-d263fb039e57,有限会社ファーイーストコーポレーション,6a8ad026-f98c-482a-b326-242294f7acff,ff974244-89d7-4e8a-b737-82db4cd554bb,2021/12/14,銀晴れ‐ぎんぱれ‐,銀晴れぎんぱれ,有限会社ファーイーストコーポレーション
そば処　寿毛平,港区,新橋二丁目８番１２号,１階、２階,03-3580-7590,飲食店営業,有限会社菩提樹,03-3591-7660,2021年12月15日,2021年12月15日,新規,3港み生食営第2841号,,182,そば処　寿毛平,03,03-3580-7590,,,,港区　新橋二丁目８番１２号,東京都港区新橋２丁目８番１２号,１階、２階,73104,13,13103,新橋２,,2021/12/15,2021/12/15,,,有限会社菩提樹,,03-3591-7660,,,,,,,,3港み生食営第2841号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,そば処寿毛平03-3580-75907310413103,0f18cf73-6937-48ba-857d-47ba1ecb3156,有限会社菩提樹,13fe23d3-4421-490f-98a9-7ac69f368bd7,4775cee2-1a1d-4e1e-9e8c-80b566fdaa66,2021/12/15,そば処　寿毛平,そば処寿毛平,有限会社菩提樹
居酒屋　魚升,港区,新橋二丁目９番４号,乾盃ビル２階,03-6457-9786,飲食店営業,株式会社ＪＣＴ,,2021年12月8日,2021年12月8日,新規,3港み生食営第2780号,,182,居酒屋　魚升,03,03-6457-9786,,,,港区　新橋二丁目９番４号,東京都港区新橋２丁目９番４号,乾盃ビル２階,73104,13,13103,新橋２,,2021/12/08,2021/12/08,,,株式会社ＪＣＴ,,,,,,,,,,3港み生食営第2780号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,居酒屋魚升03-6457-97867310413103,887051e2-2b64-4a8b-b948-aa9834196430,株式会社ＪＣＴ,8d4537de-67e8-40e7-87fa-a70b6102126b,a63eba06-9633-4c55-b5b3-da053ceee810,2021/12/08,居酒屋　魚升,居酒屋魚升,株式会社ＪＣＴ
のどぐろの中俣　新橋,港区,新橋二丁目１１番１号,メナー新橋１階、２階,03-6457-9170,飲食店営業,株式会社ザガット,03-6222-8622,2021年12月22日,2021年12月22日,新規,3港み生食営第2893号,,182,のどぐろの中俣　新橋,03,03-6457-9170,,,,港区　新橋二丁目１１番１号,東京都港区新橋２丁目１１番１号,メナー新橋１階、２階,73104,13,13103,新橋２,,2021/12/22,2021/12/22,,,株式会社ザガット,,03-6222-8622,,,,,,,,3港み生食営第2893号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,のどぐろの中俣新橋03-6457-91707310413103,cb5b4047-af59-4697-830b-89fe22569645,株式会社ザガット,cca68442-0e39-40d9-934b-5dcff14c9021,bbae9586-461c-4c7b-8132-20f1ebd49f18,2021/12/22,のどぐろの中俣　新橋,のどぐろの中俣新橋,株式会社ザガット
中国料理蘭苑飯店,港区,新橋二丁目１２番２号,ＨＫ新橋ビル１階,03-3504-0026,飲食店営業,有限会社ミワエンタープライズ,03-3504-0026,2021年12月1日,2021年12月1日,新規,3港み生食営第2681号,,182,中国料理蘭苑飯店,03,03-3504-0026,,,,港区　新橋二丁目１２番２号,東京都港区新橋２丁目１２番２号,ＨＫ新橋ビル１階,73104,13,13103,新橋２,,2021/12/01,2021/12/01,,,有限会社ミワエンタープライズ,,03-3504-0026,,,,,,,,3港み生食営第2681号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,中国料理蘭苑飯店03-3504-00267310413103,4ae9e153-faaa-4913-b9d8-06998a2b9e6e,有限会社ミワエンタープライズ,580ed2b2-1257-43e7-88d2-9284c55b4f4e,e2550e81-75a1-4990-b332-9ad0d8fe1fd5,2021/12/01,中国料理蘭苑飯店,中国料理蘭苑飯店,有限会社ミワエンタープライズ
Ｐｏｎｔｅ　２号店,港区,新橋二丁目１２番８号,ＧＥＭＳ新橋６階,,飲食店営業,株式会社しろくろ,,2021年12月20日,2021年12月20日,新規,3港み生食営第2862号,,182,Ｐｏｎｔｅ　２号店,03,,,,,港区　新橋二丁目１２番８号,東京都港区新橋２丁目１２番８号,ＧＥＭＳ新橋６階,73104,13,13103,新橋２,,2021/12/20,2021/12/20,,,株式会社しろくろ,,,,,,,,,,3港み生食営第2862号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｐｏｎｔｅ２号店7310413103,b5c41204-7ef1-4a5c-803d-28660f593ab8,株式会社しろくろ,4db962b0-6f6f-4a4b-9f35-3d6d053f0221,28327cb4-78ec-4f3e-8060-904816308226,2021/12/20,Ｐｏｎｔｅ　２号店,Ｐｏｎｔｅ２号店,株式会社しろくろ
なつかしや,港区,新橋二丁目１５番４号,１階、２階,03-3506-3480,飲食店営業,株式会社ジェントルハンド,03-3506-3480,2021年12月17日,2021年12月17日,新規,3港み生食営第2833号,,182,なつかしや,03,03-3506-3480,,,,港区　新橋二丁目１５番４号,東京都港区新橋２丁目１５番４号,１階、２階,73104,13,13103,新橋２,,2021/12/17,2021/12/17,,,株式会社ジェントルハンド,,03-3506-3480,,,,,,,,3港み生食営第2833号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,なつかしや03-3506-34807310413103,2b5b2a12-3f96-4b7c-a9e7-1cda6f0fb6b9,株式会社ジェントルハンド,e1840588-deb6-477a-89de-9b5c014f9628,6198a936-77ad-4d18-894b-f4ad855a34cb,2021/12/17,なつかしや,なつかしや,株式会社ジェントルハンド
新ばし高江洲家,港区,新橋二丁目１５番５号,新橋アバックビル３階,,飲食店営業,ＴＹダイニング株式会社,,2021年12月15日,2021年12月15日,新規,3港み生食営第2839号,,182,新ばし高江洲家,03,,,,,港区　新橋二丁目１５番５号,東京都港区新橋２丁目１５番５号,新橋アバックビル３階,73104,13,13103,新橋２,,2021/12/15,2021/12/15,,,ＴＹダイニング株式会社,,,,,,,,,,3港み生食営第2839号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,新ばし高江洲家7310413103,4b1cb871-519b-4a12-9a06-63033eae9ed2,ＴＹダイニング株式会社,b29be6d0-33d3-4250-b3aa-6868a94a13b9,78e5c133-8afb-4a95-9662-be3f257dd672,2021/12/15,新ばし高江洲家,新ばし高江洲家,ＴＹダイニング株式会社
上海風情,港区,新橋二丁目１５番７号,Ｓ‐ＰＬＡＺＡ弥生ビル８階,,飲食店営業,有限会社上海風情,03-3578-6538,2021年12月3日,2021年12月3日,新規,3港み生食営第2715号,,182,上海風情,03,,,,,港区　新橋二丁目１５番７号,東京都港区新橋２丁目１５番７号,Ｓ‐ＰＬＡＺＡ弥生ビル８階,73104,13,13103,新橋２,,2021/12/03,2021/12/03,,,有限会社上海風情,,03-3578-6538,,,,,,,,3港み生食営第2715号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,上海風情7310413103,c6a3d490-c20b-4b53-be2f-e2e558ad5ce6,有限会社上海風情,7ba1623b-3e2f-4309-afea-7823e629c7b1,581e08be-12ce-4fc6-b7b0-fe047d49a4c1,2021/12/03,上海風情,上海風情,有限会社上海風情
かつや　新橋店,港区,新橋二丁目１６番１号,ニュー新橋ビル１階１２４号,03-3536-7452,飲食店営業,株式会社かつや,03-5217-1535,2021年12月10日,2021年12月10日,新規,3港み生食営第2764号,,182,かつや　新橋店,03,03-3536-7452,,,,港区　新橋二丁目１６番１号,東京都港区新橋２丁目１６番１号,ニュー新橋ビル１階１２４号,73104,13,13103,新橋２,,2021/12/10,2021/12/10,,,株式会社かつや,,03-5217-1535,,,,,,,,3港み生食営第2764号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,かつや新橋店03-3536-74527310413103,876f88e6-6d82-454d-adcc-d7a7507811ea,株式会社かつや,9ff5e4b2-b262-416e-b822-9a72bf6e4358,e3dedff7-6335-4335-b456-878abc8c4d14,2021/12/10,かつや　新橋店,かつや新橋店,株式会社かつや
ベジタリアンチョーキュー,港区,新橋二丁目１６番１号,ニュー新橋ビル１階１３１,03-3591-8676,飲食店営業,株式会社チョーキュー,03-3387-1337,2021年12月14日,2021年12月14日,新規,3港み生食営第2834号,,182,ベジタリアンチョーキュー,03,03-3591-8676,,,,港区　新橋二丁目１６番１号,東京都港区新橋２丁目１６番１号,ニュー新橋ビル１階１３１,73104,13,13103,新橋２,,2021/12/14,2021/12/14,,,株式会社チョーキュー,,03-3387-1337,,,,,,,,3港み生食営第2834号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ベジタリアンチョキュ03-3591-86767310413103,b24497d0-8591-4f54-aa85-222167f27699,株式会社チョーキュー,f46565d3-e3e1-46a6-9c86-e7f9889c7d75,18dd58a2-2e9a-4394-a7e3-6f9c2b7fca2a,2021/12/14,ベジタリアンチョーキュー,ベジタリアンチョキュ,株式会社チョーキュー
鎌倉餃子ＵＭＩＮＥＫＯ　鉄鍋＆バル,港区,新橋三丁目５番６号,加藤ビル１階,,飲食店営業,株式会社カマクラワークス,,2021年12月17日,2021年12月17日,新規,3港み生食営第2781号,,182,鎌倉餃子ＵＭＩＮＥＫＯ　鉄鍋＆バル,03,,,,,港区　新橋三丁目５番６号,東京都港区新橋３丁目５番６号,加藤ビル１階,73105,13,13103,新橋３,,2021/12/17,2021/12/17,,,株式会社カマクラワークス,,,,,,,,,,3港み生食営第2781号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,鎌倉餃子ＵＭＩＮＥＫＯ鉄鍋バル7310513103,c02b510c-792e-44d4-b0c3-8bfacd05536f,株式会社カマクラワークス,b23a8dff-c5ec-4b10-abf8-1572c9570395,809be81b-fe6f-4f9c-82d7-5f06db93e9d3,2021/12/17,鎌倉餃子ＵＭＩＮＥＫＯ　鉄鍋＆バル,鎌倉餃子ＵＭＩＮＥＫＯ鉄鍋バル,株式会社カマクラワークス
隠れ家居酒屋とまとの部屋,港区,新橋三丁目６番３号,岩田ビル２階Ａ,03-3591-1880,飲食店営業,有限会社とまと企画,03-3591-1880,2021年12月7日,2021年12月7日,新規,3港み生食営第2790号,,182,隠れ家居酒屋とまとの部屋,03,03-3591-1880,,,,港区　新橋三丁目６番３号,東京都港区新橋３丁目６番３号,岩田ビル２階Ａ,73105,13,13103,新橋３,,2021/12/07,2021/12/07,,,有限会社とまと企画,,03-3591-1880,,,,,,,,3港み生食営第2790号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,隠れ家居酒屋とまとの部屋03-3591-18807310513103,de428019-3005-441a-8457-2d9fafe6e115,有限会社とまと企画,e7c186ae-cafa-4a24-96c7-08cc622d4b78,09f40f5e-fb33-44fe-8a98-a2b642cdd0ab,2021/12/07,隠れ家居酒屋とまとの部屋,隠れ家居酒屋とまとの部屋,有限会社とまと企画
酒ナ羊　其ノ二,港区,新橋三丁目６番１４号,オグラビル３階,,飲食店営業,株式会社Ｃｏｎｓｅｎｔ,,2021年12月3日,2021年12月3日,新規,3港み生食営第2632号,,182,酒ナ羊　其ノ二,03,,,,,港区　新橋三丁目６番１４号,東京都港区新橋３丁目６番１４号,オグラビル３階,73105,13,13103,新橋３,,2021/12/03,2021/12/03,,,株式会社Ｃｏｎｓｅｎｔ,,,,,,,,,,3港み生食営第2632号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,酒ナ羊其ノ二7310513103,6e5ff215-04b0-4bcd-9bb8-82b8c1e32139,株式会社Ｃｏｎｓｅｎｔ,8682a971-3a5d-4304-9a7a-6a6ce8a5b987,dbfa1726-3557-4394-9606-25b6007f4aca,2021/12/03,酒ナ羊　其ノ二,酒ナ羊其ノ二,株式会社Ｃｏｎｓｅｎｔ
