https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月日,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
イオン旭川永山,旭川市永山3条12丁目2-11イオン旭川永山2F(社員食堂),旭川市永山３条１２丁目２－１１,イオン旭川永山２F(社員食堂),47-7111,飲食店営業,イオン北海道株式会社,011-865-4120,2021.12.17,2021.12.17,新規,889,,3,イオン旭川永山,0166,0166-47-7111,,,,旭川市永山３条１２丁目２－１１,北海道旭川市永山三条１２丁目２－１１,イオン旭川永山２F(社員食堂),7678,1,1204,永山三条１２,,2021/12/17,2021/12/17,,,イオン北海道株式会社,,011-865-4120,,,,,,,,889,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,イオン旭川永山0166-47-711176781204,45212be7-04e9-4d19-94e6-9c089b679b42,イオン北海道株式会社,634e7900-c19d-41b4-8aef-0a218e53e2c0,d08f2241-e2c1-4ba1-a4e6-86cd1ae5a75b,2021/12/17,イオン旭川永山,イオン旭川永山,イオン北海道株式会社
グランパ,旭川市豊岡10条11丁目145-15,旭川市豊岡１０条１１丁目１４５－１５,,74-5310,飲食店営業,石渡啓嗣,,2021.12.17,2021.12.17,新規,890,,3,グランパ,0166,0166-74-5310,,,,旭川市豊岡１０条１１丁目１４５－１５,北海道旭川市豊岡十条１１丁目１４５－１５,,7554,1,1204,豊岡十条１１,,2021/12/17,2021/12/17,,,,石渡啓嗣,,,,,,,,,890,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,グランパ0166-74-531075541204,de0a5358-9489-469f-be9f-188329dbf940,,personal,6b3978b2-5229-4b7f-bfa1-74f40c45355b,2021/12/17,グランパ,グランパ,
くぼぱん,旭川市神楽岡6条6丁目6-12秦生コーポA-103,旭川市神楽岡６条６丁目６－１２,秦生コーポA１０３,,菓子製造業,久保詠子,,2021.12.20,2021.12.20,新規,891,,3,くぼぱん,0166,,,,,旭川市神楽岡６条６丁目６－１２,北海道旭川市神楽岡六条６丁目６－１２,秦生コーポA１０３,6598,1,1204,神楽岡六条６,,2021/12/20,2021/12/20,,,,久保詠子,,,,,,,,,891,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,くぼぱん65981204,781880c2-fc93-4397-a749-6719f17f9ab4,,personal,6067bb82-997e-4440-88a5-9e19f49add35,2021/12/20,くぼぱん,くぼぱん,
 bar Rita,旭川市3条通6丁目965-2M-Box5F,旭川市３条通６丁目９６５－２,M－Box５F,25-5773,飲食店営業,成田匡孝,,2021.12.21,2021.12.21,新規,894,,3, bar Rita,0166,0166-25-5773,,,,旭川市３条通６丁目９６５－２,北海道旭川市三条通６丁目９６５－２,M－Box５F,8365,1,1204,三条通６,,2021/12/21,2021/12/21,,,,成田匡孝,,,,,,,,,894,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ｂａｒＲｉｔａ0166-25-577383651204,501fa2d9-f4f6-4a92-b99a-58fc9dff9db7,,personal,0f61faa7-4ff9-4e29-9fb1-58ce31697f33,2021/12/21,　ｂａｒ　Ｒｉｔａ,ｂａｒＲｉｔａ,
 Y2(ワイツー),旭川市南5条通25丁目121-74,旭川市南５条通２５丁目１２１－７４,,31-0039,菓子製造業,吉岡好一,,2021.12.22,2021.12.22,新規,895,,3, Y2(ワイツー),0166,0166-31-0039,,,,旭川市南５条通２５丁目１２１－７４,北海道旭川市南五条通２５丁目１２１－７４,,8234,1,1204,南五条通２５,,2021/12/22,2021/12/22,,,,吉岡好一,,,,,,,,,895,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,Ｙ２ワイツ0166-31-003982341204,b4f2024d-fbeb-4902-aade-be83310d10eb,,personal,22da9590-7dc4-4d00-b68a-da96d51cadf6,2021/12/22,　Ｙ２（ワイツー）,Ｙ２ワイツ,
Lily,旭川市3条通6丁目415-1ウインダムビル2F,旭川市３条通６丁目４１５－１,ウインダムビル２F,,飲食店営業,花房智尋,,2021.12.22,2021.12.22,新規,896,,3,Lily,0166,,,,,旭川市３条通６丁目４１５－１,北海道旭川市三条通６丁目４１５－１,ウインダムビル２F,8365,1,1204,三条通６,,2021/12/22,2021/12/22,,,,花房智尋,,,,,,,,,896,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,Ｌｉｌｙ83651204,e5366b26-9808-4829-bb4a-40f83bcb2564,,personal,0aaeed61-3716-481a-9c3b-d87263b45b9b,2021/12/22,Ｌｉｌｙ,Ｌｉｌｙ,
喫茶クローバー,旭川市東光10条8丁目1-3,旭川市東光１０条８丁目１－３,,32-8096,飲食店営業,坂本幸子,,2021.12.23,2021.12.23,新規,897,,3,喫茶クローバー,0166,0166-32-8096,,,,旭川市東光１０条８丁目１－３,北海道旭川市東光十条８丁目１－３,,7342,1,1204,東光十条８,,2021/12/23,2021/12/23,,,,坂本幸子,,,,,,,,,897,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,喫茶クロバ0166-32-809673421204,87080af9-3624-4379-9792-cac5036710d3,,personal,b1abd971-c646-45e2-b3fc-dc494cb0fa59,2021/12/23,喫茶クローバー,喫茶クロバ,
コープさっぽろ東光店,旭川市豊岡1条5丁目1-5/2F,旭川市豊岡１条５丁目１－５,２F,33-7411,飲食店営業,生活協同組合コープさっぽろ,011-671-5601,2021.12.23,2021.12.23,新規,898,,3,コープさっぽろ東光店,0166,0166-33-7411,,,,旭川市豊岡１条５丁目１－５,北海道旭川市豊岡一条５丁目１－５,２F,7452,1,1204,豊岡一条５,,2021/12/23,2021/12/23,,,生活協同組合コープさっぽろ,,011-671-5601,,,,,,,,898,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,コプさっぽろ東光店0166-33-741174521204,2c62c5c2-4ea8-4f5e-889e-7ff02bebb310,生活協同組合コープさっぽろ,5d2a6114-6538-460e-bebf-0eea11420272,9efcdb99-0812-4a1c-9c90-b9547304c8a0,2021/12/23,コープさっぽろ東光店,コプさっぽろ東光店,生活協同組合コープさっぽろ
コープさっぽろ東光店,旭川市豊岡1条5丁目1-5/2F,旭川市豊岡１条５丁目１－５,２F,33-7411,飲食店営業,生活協同組合コープさっぽろ,011-671-5601,2021.12.23,2021.12.23,新規,899,,3,コープさっぽろ東光店,0166,0166-33-7411,,,,旭川市豊岡１条５丁目１－５,北海道旭川市豊岡一条５丁目１－５,２F,7452,1,1204,豊岡一条５,,2021/12/23,2021/12/23,,,生活協同組合コープさっぽろ,,011-671-5601,,,,,,,,899,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,コプさっぽろ東光店0166-33-741174521204,2c62c5c2-4ea8-4f5e-889e-7ff02bebb310,生活協同組合コープさっぽろ,5d2a6114-6538-460e-bebf-0eea11420272,c791941d-291d-4576-a178-507a1090752b,2021/12/23,コープさっぽろ東光店,コプさっぽろ東光店,生活協同組合コープさっぽろ
七輪焼肉安安　旭川末広店,旭川市末広1条7丁目1-28,旭川市末広１条７丁目１－２８,,85-6329,飲食店営業,株式会社富士達,045-328-6090,2021.12.24,2021.12.24,新規,901,,3,七輪焼肉安安　旭川末広店,0166,0166-85-6329,,,,旭川市末広１条７丁目１－２８,北海道旭川市末広一条７丁目１－２８,,7076,1,1204,末広一条７,,2021/12/24,2021/12/24,,,株式会社富士達,,045-328-6090,,,,,,,,901,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,七輪焼肉安安旭川末広店0166-85-632970761204,aa9e94ed-2120-448c-bd9a-b595f92060e5,株式会社富士達,bad60186-5fb0-442a-8896-dd4aa425dd5b,bc0c6215-a62a-4113-a670-185a1dc86dbd,2021/12/24,七輪焼肉安安　旭川末広店,七輪焼肉安安旭川末広店,株式会社富士達
東横イン旭川駅東口,旭川市宮下通11丁目1176,旭川市宮下通１１丁目１１７６,,25-2045,飲食店営業,株式会社東横イン,03-5703-1045,2021.12.24,2021.12.24,新規,902,,3,東横イン旭川駅東口,0166,0166-25-2045,,,,旭川市宮下通１１丁目１１７６,北海道旭川市宮下通１１丁目１１７６,,8275,1,1204,宮下通１１,,2021/12/24,2021/12/24,,,株式会社東横イン,,03-5703-1045,,,,,,,,902,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,東横イン旭川駅東口0166-25-204582751204,b6cffa3b-71c2-4391-8207-1bf76c3d805a,株式会社東横イン,00696cc1-20fb-4113-bc54-e9aeef081255,6bc5eef8-1ac3-4518-92f8-e5077e63b31b,2021/12/24,東横イン旭川駅東口,東横イン旭川駅東口,株式会社東横イン
麺や一揆,旭川市永山10条5丁目2-17,旭川市永山１０条５丁目２－１７,,56-8727,飲食店営業,小野このみ,,2021.12.24,2021.12.24,新規,903,,3,麺や一揆,0166,0166-56-8727,,,,旭川市永山１０条５丁目２－１７,北海道旭川市永山十条５丁目２－１７,,7825,1,1204,永山十条５,,2021/12/24,2021/12/24,,,,小野このみ,,,,,,,,,903,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,麺や一揆0166-56-872778251204,81cde65c-129d-47a8-ab2e-c54f08e7eb25,,personal,f7ba1bed-04e7-49fc-81eb-848b0d517e16,2021/12/24,麺や一揆,麺や一揆,
雪女,旭川市4条通6丁目405-3ヨシタケビル5号館3F,旭川市４条通６丁目４０５－３,ヨシタケビル５号館３F,24-5964,飲食店営業,佐藤登茂子,,2021.12.27,2021.12.27,新規,904,,3,雪女,0166,0166-24-5964,,,,旭川市４条通６丁目４０５－３,北海道旭川市四条通６丁目４０５－３,ヨシタケビル５号館３F,8396,1,1204,四条通６,,2021/12/27,2021/12/27,,,,佐藤登茂子,,,,,,,,,904,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,雪女0166-24-596483961204,b631aea6-ba70-44d0-a91d-eea897d8a9ef,,personal,ee1e15b2-1013-4784-b8ac-e9580e7b549b,2021/12/27,雪女,雪女,
monte desir(モンテデジール),旭川市6条通7丁目31-24YMSビル1F,旭川市６条通７丁目３１－２４,YMSビル１F,74-3948,菓子製造業,株式会社あおいSORA,73-4591,2021.12.29,2021.12.29,新規,905,,3,monte desir(モンテデジール),0166,0166-74-3948,,,,旭川市６条通７丁目３１－２４,北海道旭川市六条通７丁目３１－２４,YMSビル１F,8465,1,1204,六条通７,,2021/12/29,2021/12/29,,,株式会社あおいSORA,,0166-73-4591,,,,,,,,905,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,ｍｏｎｔｅｄｅｓｉｒモンテデジル0166-74-394884651204,3111d1a6-baf7-4b5e-bcb7-7d50ac3dbd12,株式会社あおいＳＯＲＡ,4fd458ad-65c5-499e-afa2-50c4666e062c,9692faf6-a5a0-4323-ae6e-0b75f944b172,2021/12/29,ｍｏｎｔｅ　ｄｅｓｉｒ（モンテデジール）,ｍｏｎｔｅｄｅｓｉｒモンテデジル,株式会社あおいＳＯＲＡ
